metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
district-concentration-top100,national,IN,2011,muslim,58.55,top_100_districts_muslim_pop_100853681 / national_muslim_pop_172245158,172245158,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,"Share of national Muslim population concentrated in the top 100 districts (ranked by absolute Muslim population). Computed from all state MDDS files: 640 districts considered. The top 100 hold 100,853,681 Muslim residents of India's 172,245,158 total Muslim population.",false
district-concentration-top100,district,IN-S19-D333,2011,muslim,4707573,district_total_pop_7103807,7103807,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-19-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=1; name=Murshidabad; muslim_pct_of_district=66.27,false
district-concentration-top100,district,IN-S19-D343,2011,muslim,2903075,district_total_pop_8161961,8161961,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-19-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=2; name=South Twenty Four Parganas; muslim_pct_of_district=35.57,false
district-concentration-top100,district,IN-S32-D592,2011,muslim,2888849,district_total_pop_4112920,4112920,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-32-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=3; name=Malappuram; muslim_pct_of_district=70.24,false
district-concentration-top100,district,IN-S19-D337,2011,muslim,2584684,district_total_pop_10009781,10009781,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-19-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=4; name=North Twenty Four Parganas; muslim_pct_of_district=25.82,false
district-concentration-top100,district,IN-S09-D135,2011,muslim,2248392,district_total_pop_4772006,4772006,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-09-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=5; name=Moradabad; muslim_pct_of_district=47.12,false
district-concentration-top100,district,IN-S19-D332,2011,muslim,2045151,district_total_pop_3988845,3988845,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-19-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=6; name=Maldah; muslim_pct_of_district=51.27,false
district-concentration-top100,district,IN-S27-D518,2011,muslim,1795788,district_total_pop_9356962,9356962,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-27-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=7; name=Mumbai Suburban; muslim_pct_of_district=19.19,false
district-concentration-top100,district,IN-S28-D536,2011,muslim,1713405,district_total_pop_3943323,3943323,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-28-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=8; name=Hyderabad; muslim_pct_of_district=43.45,false
district-concentration-top100,district,IN-S09-D133,2011,muslim,1711453,district_total_pop_4143512,4143512,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-09-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=9; name=Muzaffarnagar; muslim_pct_of_district=41.3,false
district-concentration-top100,district,IN-S19-D335,2011,muslim,1599764,district_total_pop_7717563,7717563,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-19-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=10; name=Barddhaman; muslim_pct_of_district=20.73,false
district-concentration-top100,district,IN-S09-D134,2011,muslim,1585210,district_total_pop_3682713,3682713,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-09-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=11; name=Bijnor; muslim_pct_of_district=43.04,false
district-concentration-top100,district,IN-S18-D305,2011,muslim,1563203,district_total_pop_2823768,2823768,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-18-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=12; name=Nagaon; muslim_pct_of_district=55.36,false
district-concentration-top100,district,IN-S18-D301,2011,muslim,1553023,district_total_pop_1949258,1949258,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-18-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=13; name=Dhubri; muslim_pct_of_district=79.67,false
district-concentration-top100,district,IN-S09-D150,2011,muslim,1536534,district_total_pop_4448359,4448359,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-09-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=14; name=Bareilly; muslim_pct_of_district=34.54,false
district-concentration-top100,district,IN-S19-D330,2011,muslim,1501170,district_total_pop_3007134,3007134,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-19-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=15; name=Uttar Dinajpur; muslim_pct_of_district=49.92,false
district-concentration-top100,district,IN-S09-D132,2011,muslim,1454052,district_total_pop_3466382,3466382,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-09-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=16; name=Saharanpur; muslim_pct_of_district=41.95,false
district-concentration-top100,district,IN-S19-D336,2011,muslim,1382682,district_total_pop_5167600,5167600,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-19-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=17; name=Nadia; muslim_pct_of_district=26.76,false
district-concentration-top100,district,IN-S10-D212,2011,muslim,1365645,district_total_pop_3071029,3071029,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-10-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=18; name=Katihar; muslim_pct_of_district=44.47,false
district-concentration-top100,district,IN-S27-D517,2011,muslim,1355630,district_total_pop_11060148,11060148,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-27-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=19; name=Thane; muslim_pct_of_district=12.26,false
district-concentration-top100,district,IN-S19-D334,2011,muslim,1298054,district_total_pop_3502404,3502404,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-19-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=20; name=Birbhum; muslim_pct_of_district=37.06,false
district-concentration-top100,district,IN-S19-D341,2011,muslim,1270641,district_total_pop_4850029,4850029,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-19-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=21; name=Haora; muslim_pct_of_district=26.2,false
district-concentration-top100,district,IN-S10-D211,2011,muslim,1255641,district_total_pop_3264619,3264619,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-10-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=22; name=Purnia; muslim_pct_of_district=38.46,false
district-concentration-top100,district,IN-S29-D572,2011,muslim,1248294,district_total_pop_9621551,9621551,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-29-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=23; name=Bangalore; muslim_pct_of_district=12.97,false
district-concentration-top100,district,IN-S32-D591,2011,muslim,1211131,district_total_pop_3086293,3086293,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-32-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=24; name=Kozhikode; muslim_pct_of_district=39.24,false
district-concentration-top100,district,IN-S10-D209,2011,muslim,1207442,district_total_pop_2811569,2811569,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-10-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=25; name=Araria; muslim_pct_of_district=42.95,false
district-concentration-top100,district,IN-S18-D303,2011,muslim,1198036,district_total_pop_1693622,1693622,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-18-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=26; name=Barpeta; muslim_pct_of_district=70.74,false
district-concentration-top100,district,IN-S09-D140,2011,muslim,1186776,district_total_pop_4681645,4681645,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-09-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=27; name=Ghaziabad; muslim_pct_of_district=25.35,false
district-concentration-top100,district,IN-S09-D138,2011,muslim,1185643,district_total_pop_3443689,3443689,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-09-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=28; name=Meerut; muslim_pct_of_district=34.43,false
district-concentration-top100,district,IN-S09-D136,2011,muslim,1181337,district_total_pop_2335819,2335819,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-09-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=29; name=Rampur; muslim_pct_of_district=50.57,false
district-concentration-top100,district,IN-S01-D010,2011,muslim,1177342,district_total_pop_1236829,1236829,,,census-india-2011,sources/census-2011/c-series/state-mdds/c01-01-<state>.xls,canonicalize-district-concentration-top100-v2.0.0-20260602T091800Z,rank=30; name=Srinagar; muslim_pct_of_district=95.19,false
