metric_id,geography_level,geography_code,year,religion,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
household-electricity,national,IN,2018,muslim,all,96.6,households,13786,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households with electricity for domestic use, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
household-electricity,national,IN,2018,muslim,rural,95.2,households,7392,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households with electricity for domestic use, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
household-electricity,national,IN,2018,muslim,urban,98.8,households,6394,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households with electricity for domestic use, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
household-electricity,national,IN,2018,hindu,all,95.4,households,81796,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households with electricity for domestic use, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
household-electricity,national,IN,2018,hindu,rural,93.6,households,49510,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households with electricity for domestic use, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
household-electricity,national,IN,2018,hindu,urban,99.2,households,32286,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households with electricity for domestic use, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
household-electricity,national,IN,2018,christian,all,97.5,households,6338,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households with electricity for domestic use, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
household-electricity,national,IN,2018,christian,rural,96.5,households,3912,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households with electricity for domestic use, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
household-electricity,national,IN,2018,christian,urban,99.2,households,2426,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households with electricity for domestic use, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
household-electricity,national,IN,2018,sikh,all,99.7,households,1612,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households with electricity for domestic use, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
