metric_id,geography_level,geography_code,year,religion,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
improved-sanitation,national,IN,2020,muslim,all,90.3,households,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-improved-sanitation-v1.0.0-20260610T012416Z,"NFHS-5 Table 2.4 (page 74): % of households with access to a toilet facility (any type, not strictly 'improved' per JMP definition). Total residence. Year=2020 = NFHS-5 fieldwork midpoint.",false
improved-sanitation,national,IN,2020,muslim,urban,97.2,households,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-improved-sanitation-v1.0.0-20260610T012416Z,"NFHS-5 Table 2.4 (page 74): % of households with access to a toilet facility (any type, not strictly 'improved' per JMP definition). Urban. Year=2020 = NFHS-5 fieldwork midpoint.",false
improved-sanitation,national,IN,2020,muslim,rural,85.4,households,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-improved-sanitation-v1.0.0-20260610T012416Z,"NFHS-5 Table 2.4 (page 74): % of households with access to a toilet facility (any type, not strictly 'improved' per JMP definition). Rural. Year=2020 = NFHS-5 fieldwork midpoint.",false
improved-sanitation,national,IN,2020,hindu,all,80.7,households,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-improved-sanitation-v1.0.0-20260610T012416Z,"NFHS-5 Table 2.4 (page 74): % of households with access to a toilet facility (any type, not strictly 'improved' per JMP definition). Total residence. Year=2020 = NFHS-5 fieldwork midpoint.",false
improved-sanitation,national,IN,2020,hindu,urban,95.1,households,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-improved-sanitation-v1.0.0-20260610T012416Z,"NFHS-5 Table 2.4 (page 74): % of households with access to a toilet facility (any type, not strictly 'improved' per JMP definition). Urban. Year=2020 = NFHS-5 fieldwork midpoint.",false
improved-sanitation,national,IN,2020,hindu,rural,74.0,households,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-improved-sanitation-v1.0.0-20260610T012416Z,"NFHS-5 Table 2.4 (page 74): % of households with access to a toilet facility (any type, not strictly 'improved' per JMP definition). Rural. Year=2020 = NFHS-5 fieldwork midpoint.",false
improved-sanitation,national,IN,2020,christian,all,91.2,households,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-improved-sanitation-v1.0.0-20260610T012416Z,"NFHS-5 Table 2.4 (page 74): % of households with access to a toilet facility (any type, not strictly 'improved' per JMP definition). Total residence. Year=2020 = NFHS-5 fieldwork midpoint.",false
improved-sanitation,national,IN,2020,christian,urban,97.5,households,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-improved-sanitation-v1.0.0-20260610T012416Z,"NFHS-5 Table 2.4 (page 74): % of households with access to a toilet facility (any type, not strictly 'improved' per JMP definition). Urban. Year=2020 = NFHS-5 fieldwork midpoint.",false
improved-sanitation,national,IN,2020,christian,rural,87.2,households,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-improved-sanitation-v1.0.0-20260610T012416Z,"NFHS-5 Table 2.4 (page 74): % of households with access to a toilet facility (any type, not strictly 'improved' per JMP definition). Rural. Year=2020 = NFHS-5 fieldwork midpoint.",false
improved-sanitation,national,IN,2020,sikh,all,97.5,households,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-improved-sanitation-v1.0.0-20260610T012416Z,"NFHS-5 Table 2.4 (page 74): % of households with access to a toilet facility (any type, not strictly 'improved' per JMP definition). Total residence. Year=2020 = NFHS-5 fieldwork midpoint.",false
