metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
imr,national,IN,2020,muslim,33.03,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260529T034228Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (27.8/36.5), weighted to total residence using Census 2011 urban/rural population by religion (68,740,419/103,504,739). Year=2020 represents the midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,hindu,35.4,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260529T034228Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (26.9/38.9), weighted to total residence using Census 2011 urban/rural population by religion (282,163,402/684,093,951). Year=2020 represents the midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,christian,25.23,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260529T034228Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (12.6/33.7), weighted to total residence using Census 2011 urban/rural population by religion (11,162,523/16,657,065). Year=2020 represents the midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,sikh,28.42,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260529T034228Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (19.6/31.9), weighted to total residence using Census 2011 urban/rural population by religion (5,902,324/14,930,792). Year=2020 represents the midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,buddhist,20.99,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260529T034228Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (16.2/24.6), weighted to total residence using Census 2011 urban/rural population by religion (3,628,123/4,814,849). Year=2020 represents the midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,other,30.61,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260529T034228Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (21.9/31.5), weighted to total residence using Census 2011 urban/rural population by religion (738,727/7,199,007). Year=2020 represents the midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,all,34.73,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260529T034228Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (26.6/38.4), weighted to total residence using Census 2011 urban/rural population by religion (377,106,125/833,748,852). Year=2020 represents the midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2015,hindu,41.6,live_births,,,,nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,canonicalize-imr-v1.0.0-20260529T034228Z,"NFHS Table 7.2 TOTAL-residence panel, infant mortality by religion (published total; not urban/rural-weighted like the NFHS-5 row). Year=2015 = round midpoint.",false
imr,national,IN,2015,muslim,40.0,live_births,,,,nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,canonicalize-imr-v1.0.0-20260529T034228Z,"NFHS Table 7.2 TOTAL-residence panel, infant mortality by religion (published total; not urban/rural-weighted like the NFHS-5 row). Year=2015 = round midpoint.",false
imr,national,IN,2015,christian,25.0,live_births,,,,nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,canonicalize-imr-v1.0.0-20260529T034228Z,"NFHS Table 7.2 TOTAL-residence panel, infant mortality by religion (published total; not urban/rural-weighted like the NFHS-5 row). Year=2015 = round midpoint.",false
