metric_id,geography_level,geography_code,year,religion,sex,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
lfpr-15plus,national,IN,2023,muslim,all,all,55.0,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,muslim,all,urban,49.4,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,muslim,all,rural,58.2,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,muslim,male,all,80.6,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,muslim,male,urban,78.9,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,muslim,male,rural,81.6,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,muslim,female,all,30.2,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,muslim,female,urban,19.6,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,muslim,female,rural,36.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,hindu,all,all,60.9,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,hindu,all,urban,52.5,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,hindu,all,rural,64.4,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,hindu,male,all,78.6,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,hindu,male,urban,75.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,hindu,male,rural,80.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,hindu,female,all,43.3,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,hindu,female,urban,29.3,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,hindu,female,rural,49.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,christian,all,all,62.8,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,christian,all,urban,52.9,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,christian,all,rural,68.6,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,christian,male,all,76.3,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,christian,male,urban,70.3,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,christian,male,rural,79.6,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,christian,female,all,50.4,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,christian,female,urban,37.2,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,christian,female,rural,58.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,sikh,all,all,56.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,sikh,all,urban,48.8,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,sikh,all,rural,58.6,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, both sexes. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,sikh,male,all,79.2,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,sikh,male,urban,75.3,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,sikh,male,rural,80.5,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, males. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,sikh,female,all,33.0,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
lfpr-15plus,national,IN,2023,sikh,female,urban,23.3,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-lfpr-15plus-v2.1.0-20260611T200615Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, females. Year=2023 represents the start of the Jul-2023 to Jun-2024 reference period.",false
