metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
ls-share,national,IN,1952,muslim,4.29,"lok_sabha_seats (21/489 elected MPs, LS #1)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 1st Lok Sabha: 21 of 489 seats. Source: India Forum / Statista historical series. Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
ls-share,national,IN,1957,muslim,4.66,"lok_sabha_seats (23/494 elected MPs, LS #2)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 2nd Lok Sabha: 23 of 494 seats. Source: India Forum / Statista historical series. Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
ls-share,national,IN,1962,muslim,4.66,"lok_sabha_seats (23/494 elected MPs, LS #3)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 3rd Lok Sabha: 23 of 494 seats. Source: India Forum / Statista historical series. Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
ls-share,national,IN,1967,muslim,4.81,"lok_sabha_seats (25/520 elected MPs, LS #4)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 4th Lok Sabha: 25 of 520 seats. Source: India Forum / Statista historical series. Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
ls-share,national,IN,1971,muslim,5.79,"lok_sabha_seats (30/518 elected MPs, LS #5)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 5th Lok Sabha: 30 of 518 seats. Source: India Forum / Statista historical series. Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
ls-share,national,IN,1977,muslim,6.27,"lok_sabha_seats (34/542 elected MPs, LS #6)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 6th Lok Sabha: 34 of 542 seats. Source: India Forum / Statista (Janata wave). Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
ls-share,national,IN,1980,muslim,9.04,"lok_sabha_seats (49/542 elected MPs, LS #7)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 7th Lok Sabha: 49 of 542 seats. Source: India Forum / Statista (historical PEAK). Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
ls-share,national,IN,1984,muslim,8.3,"lok_sabha_seats (45/542 elected MPs, LS #8)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 8th Lok Sabha: 45 of 542 seats. Source: India Forum / Statista (Rajiv Gandhi sweep). Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
ls-share,national,IN,1989,muslim,6.29,"lok_sabha_seats (33/525 elected MPs, LS #9)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 9th Lok Sabha: 33 of 525 seats. Source: India Forum / Statista. Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
ls-share,national,IN,1991,muslim,5.37,"lok_sabha_seats (28/521 elected MPs, LS #10)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 10th Lok Sabha: 28 of 521 seats. Source: India Forum / Statista. Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
ls-share,national,IN,1996,muslim,5.16,"lok_sabha_seats (28/543 elected MPs, LS #11)",,,,prs-eci-affidavits,MANUAL: cross-verified journalistic aggregation of ECI affidavit data,canonicalize-ls-share-v1.0.0-20260608T013849Z,Muslim MPs in the 11th Lok Sabha: 28 of 543 seats. Source: India Forum / Statista. Religion is derived from ECI candidate affidavits; PRS Legislative Research vital-stats PDFs cover candidate profiles but do not tabulate religion. This is a documented manual-entry metric — figures cross-verified across multiple journalistic sources.,false
