metric_id,geography_level,geography_code,year,religion,age_band,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
pop-share-by-age,national,IN,2011,muslim,0-9,23.75,muslim_in_band_40913772 / muslim_total_172245158,172245158,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Muslim population in the 0-9 age cohort (Census 2011 C-15, all-residence). 40,913,772 of 172,245,158.",false
pop-share-by-age,national,IN,2011,hindu,0-9,19.27,hindu_in_band_186163145 / hindu_total_966257353,966257353,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Hindu population in the 0-9 age cohort (Census 2011 C-15, all-residence). 186,163,145 of 966,257,353.",false
pop-share-by-age,national,IN,2011,christian,0-9,17.58,christian_in_band_4890680 / christian_total_27819588,27819588,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Christian population in the 0-9 age cohort (Census 2011 C-15, all-residence). 4,890,680 of 27,819,588.",false
pop-share-by-age,national,IN,2011,sikh,0-9,15.36,sikh_in_band_3200037 / sikh_total_20833116,20833116,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Sikh population in the 0-9 age cohort (Census 2011 C-15, all-residence). 3,200,037 of 20,833,116.",false
pop-share-by-age,national,IN,2011,buddhist,0-9,16.9,buddhist_in_band_1426644 / buddhist_total_8442972,8442972,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Buddhist population in the 0-9 age cohort (Census 2011 C-15, all-residence). 1,426,644 of 8,442,972.",false
pop-share-by-age,national,IN,2011,jain,0-9,13.04,jain_in_band_580446 / jain_total_4451753,4451753,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Jain population in the 0-9 age cohort (Census 2011 C-15, all-residence). 580,446 of 4,451,753.",false
pop-share-by-age,national,IN,2011,other,0-9,23.11,other_in_band_1834672 / other_total_7937734,7937734,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Other population in the 0-9 age cohort (Census 2011 C-15, all-residence). 1,834,672 of 7,937,734.",false
pop-share-by-age,national,IN,2011,muslim,10-19,23.54,muslim_in_band_40553056 / muslim_total_172245158,172245158,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Muslim population in the 10-19 age cohort (Census 2011 C-15, all-residence). 40,553,056 of 172,245,158.",false
pop-share-by-age,national,IN,2011,hindu,10-19,20.55,hindu_in_band_198571320 / hindu_total_966257353,966257353,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Hindu population in the 10-19 age cohort (Census 2011 C-15, all-residence). 198,571,320 of 966,257,353.",false
pop-share-by-age,national,IN,2011,christian,10-19,19.17,christian_in_band_5331809 / christian_total_27819588,27819588,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Christian population in the 10-19 age cohort (Census 2011 C-15, all-residence). 5,331,809 of 27,819,588.",false
pop-share-by-age,national,IN,2011,sikh,10-19,19.28,sikh_in_band_4016587 / sikh_total_20833116,20833116,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Sikh population in the 10-19 age cohort (Census 2011 C-15, all-residence). 4,016,587 of 20,833,116.",false
pop-share-by-age,national,IN,2011,buddhist,10-19,19.76,buddhist_in_band_1668178 / buddhist_total_8442972,8442972,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Buddhist population in the 10-19 age cohort (Census 2011 C-15, all-residence). 1,668,178 of 8,442,972.",false
pop-share-by-age,national,IN,2011,jain,10-19,15.73,jain_in_band_700089 / jain_total_4451753,4451753,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Jain population in the 10-19 age cohort (Census 2011 C-15, all-residence). 700,089 of 4,451,753.",false
pop-share-by-age,national,IN,2011,other,10-19,22.19,other_in_band_1761059 / other_total_7937734,7937734,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Other population in the 10-19 age cohort (Census 2011 C-15, all-residence). 1,761,059 of 7,937,734.",false
pop-share-by-age,national,IN,2011,muslim,20-29,17.75,muslim_in_band_30568104 / muslim_total_172245158,172245158,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Muslim population in the 20-29 age cohort (Census 2011 C-15, all-residence). 30,568,104 of 172,245,158.",false
pop-share-by-age,national,IN,2011,hindu,20-29,17.54,hindu_in_band_169500232 / hindu_total_966257353,966257353,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Hindu population in the 20-29 age cohort (Census 2011 C-15, all-residence). 169,500,232 of 966,257,353.",false
pop-share-by-age,national,IN,2011,christian,20-29,17.06,christian_in_band_4747233 / christian_total_27819588,27819588,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Christian population in the 20-29 age cohort (Census 2011 C-15, all-residence). 4,747,233 of 27,819,588.",false
pop-share-by-age,national,IN,2011,sikh,20-29,18.37,sikh_in_band_3826451 / sikh_total_20833116,20833116,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Sikh population in the 20-29 age cohort (Census 2011 C-15, all-residence). 3,826,451 of 20,833,116.",false
pop-share-by-age,national,IN,2011,buddhist,20-29,19.26,buddhist_in_band_1626120 / buddhist_total_8442972,8442972,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Buddhist population in the 20-29 age cohort (Census 2011 C-15, all-residence). 1,626,120 of 8,442,972.",false
pop-share-by-age,national,IN,2011,jain,20-29,17.23,jain_in_band_767252 / jain_total_4451753,4451753,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Jain population in the 20-29 age cohort (Census 2011 C-15, all-residence). 767,252 of 4,451,753.",false
pop-share-by-age,national,IN,2011,other,20-29,16.53,other_in_band_1312308 / other_total_7937734,7937734,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Other population in the 20-29 age cohort (Census 2011 C-15, all-residence). 1,312,308 of 7,937,734.",false
pop-share-by-age,national,IN,2011,muslim,30-39,13.01,muslim_in_band_22414339 / muslim_total_172245158,172245158,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v3.1.0-20260614T060159Z,"Share of the Muslim population in the 30-39 age cohort (Census 2011 C-15, all-residence). 22,414,339 of 172,245,158.",false
