metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
sex-ratio,national,IN,2011,muslim,951.3,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,national,IN,2011,hindu,939.1,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,national,IN,2011,all,942.7,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S01,2011,muslim,934.5,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S01,2011,hindu,795.0,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S01,2011,all,888.6,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S02,2011,muslim,855.8,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S02,2011,hindu,975.4,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S02,2011,all,971.5,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S03,2011,muslim,862.4,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S03,2011,hindu,878.7,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S03,2011,all,895.1,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S04,2011,muslim,721.3,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S04,2011,hindu,803.4,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S04,2011,all,817.7,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S05,2011,muslim,901.0,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S05,2011,hindu,976.4,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S05,2011,all,963.2,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S06,2011,muslim,895.0,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S06,2011,hindu,875.6,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S06,2011,all,878.6,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S07,2011,muslim,854.6,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S07,2011,hindu,864.7,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S07,2011,all,868.0,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S08,2011,muslim,946.2,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
sex-ratio,state,IN-S08,2011,hindu,926.5,females_per_1000_males_total_residence_all_ages,,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-sex-ratio-v1.0.0-20260527T180135Z,"Females / Males * 1000 at All ages, Total residence.",false
