metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
undertrial-share,national,IN,2018,muslim,21.45,undertrial_population_religion_reported_296639,,,,ncrb-prison,sources/ncrb-prison/psi-2018.pdf,canonicalize-undertrial-share-v2.0.0-20260530T164543Z,"NCRB PSI 2018 Table 2.11C (undertrial prisoners). Muslim share among undertrials whose religion was reported: sum of religion columns across STATES+UTs subtotals (auto-excludes states that did not report religion, e.g. Maharashtra in several years). Muslim count: 63,626, religion-reported total: 296,639. Compare vs Muslim share of population ~14.23% (Census 2011).",false
undertrial-share,national,IN,2018,hindu,71.24,undertrial_population_religion_reported_296639,,,,ncrb-prison,sources/ncrb-prison/psi-2018.pdf,canonicalize-undertrial-share-v2.0.0-20260530T164543Z,"NCRB PSI 2018 Table 2.11C (undertrial prisoners). Muslim share among undertrials whose religion was reported: sum of religion columns across STATES+UTs subtotals (auto-excludes states that did not report religion, e.g. Maharashtra in several years). Hindu count: 211,335, religion-reported total: 296,639. Compare vs Muslim share of population ~14.23% (Census 2011).",false
undertrial-share,national,IN,2019,muslim,20.43,undertrial_population_religion_reported_302930,,,,ncrb-prison,sources/ncrb-prison/psi-2019.pdf,canonicalize-undertrial-share-v2.0.0-20260530T164543Z,"NCRB PSI 2019 Table 2.11C (undertrial prisoners). Muslim share among undertrials whose religion was reported: sum of religion columns across STATES+UTs subtotals (auto-excludes states that did not report religion, e.g. Maharashtra in several years). Muslim count: 61,900, religion-reported total: 302,930. Compare vs Muslim share of population ~14.23% (Census 2011).",false
undertrial-share,national,IN,2019,hindu,71.91,undertrial_population_religion_reported_302930,,,,ncrb-prison,sources/ncrb-prison/psi-2019.pdf,canonicalize-undertrial-share-v2.0.0-20260530T164543Z,"NCRB PSI 2019 Table 2.11C (undertrial prisoners). Muslim share among undertrials whose religion was reported: sum of religion columns across STATES+UTs subtotals (auto-excludes states that did not report religion, e.g. Maharashtra in several years). Hindu count: 217,851, religion-reported total: 302,930. Compare vs Muslim share of population ~14.23% (Census 2011).",false
undertrial-share,national,IN,2020,muslim,21.06,undertrial_population_religion_reported_345677,,,,ncrb-prison,sources/ncrb-prison/psi-2020-hindi-ch2.pdf,canonicalize-undertrial-share-v2.0.0-20260530T164543Z,"NCRB PSI 2020 Table 2.11C (undertrial prisoners). Muslim share among undertrials whose religion was reported: sum of religion columns across STATES+UTs subtotals (auto-excludes states that did not report religion, e.g. Maharashtra in several years). Muslim count: 72,790, religion-reported total: 345,677. Compare vs Muslim share of population ~14.23% (Census 2011).",false
undertrial-share,national,IN,2020,hindu,72.09,undertrial_population_religion_reported_345677,,,,ncrb-prison,sources/ncrb-prison/psi-2020-hindi-ch2.pdf,canonicalize-undertrial-share-v2.0.0-20260530T164543Z,"NCRB PSI 2020 Table 2.11C (undertrial prisoners). Muslim share among undertrials whose religion was reported: sum of religion columns across STATES+UTs subtotals (auto-excludes states that did not report religion, e.g. Maharashtra in several years). Hindu count: 249,190, religion-reported total: 345,677. Compare vs Muslim share of population ~14.23% (Census 2011).",false
undertrial-share,national,IN,2021,muslim,19.44,undertrial_population_religion_reported_395413,,,,ncrb-prison,sources/ncrb-prison/psi-2021.pdf,canonicalize-undertrial-share-v2.0.0-20260530T164543Z,"NCRB PSI 2021 Table 2.11C (undertrial prisoners). Muslim share among undertrials whose religion was reported: sum of religion columns across STATES+UTs subtotals (auto-excludes states that did not report religion, e.g. Maharashtra in several years). Muslim count: 76,877, religion-reported total: 395,413. Compare vs Muslim share of population ~14.23% (Census 2011).",false
undertrial-share,national,IN,2021,hindu,73.26,undertrial_population_religion_reported_395413,,,,ncrb-prison,sources/ncrb-prison/psi-2021.pdf,canonicalize-undertrial-share-v2.0.0-20260530T164543Z,"NCRB PSI 2021 Table 2.11C (undertrial prisoners). Muslim share among undertrials whose religion was reported: sum of religion columns across STATES+UTs subtotals (auto-excludes states that did not report religion, e.g. Maharashtra in several years). Hindu count: 289,668, religion-reported total: 395,413. Compare vs Muslim share of population ~14.23% (Census 2011).",false
undertrial-share,national,IN,2022,muslim,20.92,undertrial_population_religion_reported_401419,,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-undertrial-share-v2.0.0-20260530T164543Z,"NCRB PSI 2022 Table 2.11C (undertrial prisoners). Muslim share among undertrials whose religion was reported: sum of religion columns across STATES+UTs subtotals (auto-excludes states that did not report religion, e.g. Maharashtra in several years). Muslim count: 83,968, religion-reported total: 401,419. Compare vs Muslim share of population ~14.23% (Census 2011).",false
undertrial-share,national,IN,2022,hindu,70.59,undertrial_population_religion_reported_401419,,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-undertrial-share-v2.0.0-20260530T164543Z,"NCRB PSI 2022 Table 2.11C (undertrial prisoners). Muslim share among undertrials whose religion was reported: sum of religion columns across STATES+UTs subtotals (auto-excludes states that did not report religion, e.g. Maharashtra in several years). Hindu count: 283,372, religion-reported total: 401,419. Compare vs Muslim share of population ~14.23% (Census 2011).",false
