metric_id,geography_level,geography_code,year,religion,sex,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
unemployment-rate-15plus,national,IN,2017,all,all,all,6.0,labour_force_15plus,330620,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-unemployment-rate-15plus-v1.0.0-20260611T011522Z,"Computed from PLFS 2017-18 unit-level microdata (first-visit person file, usual status ps+ss, age 15+, rural+urban, both sexes): unemployment rate (unemployed / labour force). Weight = MULT/100 (or /200 when NSS!=NSC) / NO_QTR; household religion joined from the household file. The run reproduces the round's published all-India LFPR/WPR/UR to 0.1. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. NSO unit-data rider: religion is self-reported and the survey is designed for labour-force estimation, so religion figures are indicative (no sub-state estimates). Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
unemployment-rate-15plus,national,IN,2017,all,female,all,5.6,labour_force_15plus,163000,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-unemployment-rate-15plus-v1.0.0-20260611T011522Z,"Computed from PLFS 2017-18 unit-level microdata (first-visit person file, usual status ps+ss, age 15+, rural+urban, females): unemployment rate (unemployed / labour force). Weight = MULT/100 (or /200 when NSS!=NSC) / NO_QTR; household religion joined from the household file. The run reproduces the round's published all-India LFPR/WPR/UR to 0.1. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. NSO unit-data rider: religion is self-reported and the survey is designed for labour-force estimation, so religion figures are indicative (no sub-state estimates). Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
unemployment-rate-15plus,national,IN,2017,all,male,all,6.1,labour_force_15plus,167576,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-unemployment-rate-15plus-v1.0.0-20260611T011522Z,"Computed from PLFS 2017-18 unit-level microdata (first-visit person file, usual status ps+ss, age 15+, rural+urban, males): unemployment rate (unemployed / labour force). Weight = MULT/100 (or /200 when NSS!=NSC) / NO_QTR; household religion joined from the household file. The run reproduces the round's published all-India LFPR/WPR/UR to 0.1. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. NSO unit-data rider: religion is self-reported and the survey is designed for labour-force estimation, so religion figures are indicative (no sub-state estimates). Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
unemployment-rate-15plus,national,IN,2017,all,all,rural,5.3,labour_force_15plus,184935,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-unemployment-rate-15plus-v1.0.0-20260611T011522Z,"Computed from PLFS 2017-18 unit-level microdata (first-visit person file, usual status ps+ss, age 15+, rural, both sexes): unemployment rate (unemployed / labour force). Weight = MULT/100 (or /200 when NSS!=NSC) / NO_QTR; household religion joined from the household file. The run reproduces the round's published all-India LFPR/WPR/UR to 0.1. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. NSO unit-data rider: religion is self-reported and the survey is designed for labour-force estimation, so religion figures are indicative (no sub-state estimates). Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
unemployment-rate-15plus,national,IN,2017,all,female,rural,3.8,labour_force_15plus,90754,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-unemployment-rate-15plus-v1.0.0-20260611T011522Z,"Computed from PLFS 2017-18 unit-level microdata (first-visit person file, usual status ps+ss, age 15+, rural, females): unemployment rate (unemployed / labour force). Weight = MULT/100 (or /200 when NSS!=NSC) / NO_QTR; household religion joined from the household file. The run reproduces the round's published all-India LFPR/WPR/UR to 0.1. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. NSO unit-data rider: religion is self-reported and the survey is designed for labour-force estimation, so religion figures are indicative (no sub-state estimates). Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
unemployment-rate-15plus,national,IN,2017,all,male,rural,5.8,labour_force_15plus,94164,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-unemployment-rate-15plus-v1.0.0-20260611T011522Z,"Computed from PLFS 2017-18 unit-level microdata (first-visit person file, usual status ps+ss, age 15+, rural, males): unemployment rate (unemployed / labour force). Weight = MULT/100 (or /200 when NSS!=NSC) / NO_QTR; household religion joined from the household file. The run reproduces the round's published all-India LFPR/WPR/UR to 0.1. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. NSO unit-data rider: religion is self-reported and the survey is designed for labour-force estimation, so religion figures are indicative (no sub-state estimates). Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
unemployment-rate-15plus,national,IN,2017,all,all,urban,7.8,labour_force_15plus,145685,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-unemployment-rate-15plus-v1.0.0-20260611T011522Z,"Computed from PLFS 2017-18 unit-level microdata (first-visit person file, usual status ps+ss, age 15+, urban, both sexes): unemployment rate (unemployed / labour force). Weight = MULT/100 (or /200 when NSS!=NSC) / NO_QTR; household religion joined from the household file. The run reproduces the round's published all-India LFPR/WPR/UR to 0.1. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. NSO unit-data rider: religion is self-reported and the survey is designed for labour-force estimation, so religion figures are indicative (no sub-state estimates). Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
unemployment-rate-15plus,national,IN,2017,all,female,urban,10.8,labour_force_15plus,72246,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-unemployment-rate-15plus-v1.0.0-20260611T011522Z,"Computed from PLFS 2017-18 unit-level microdata (first-visit person file, usual status ps+ss, age 15+, urban, females): unemployment rate (unemployed / labour force). Weight = MULT/100 (or /200 when NSS!=NSC) / NO_QTR; household religion joined from the household file. The run reproduces the round's published all-India LFPR/WPR/UR to 0.1. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. NSO unit-data rider: religion is self-reported and the survey is designed for labour-force estimation, so religion figures are indicative (no sub-state estimates). Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
unemployment-rate-15plus,national,IN,2017,all,male,urban,6.9,labour_force_15plus,73412,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-unemployment-rate-15plus-v1.0.0-20260611T011522Z,"Computed from PLFS 2017-18 unit-level microdata (first-visit person file, usual status ps+ss, age 15+, urban, males): unemployment rate (unemployed / labour force). Weight = MULT/100 (or /200 when NSS!=NSC) / NO_QTR; household religion joined from the household file. The run reproduces the round's published all-India LFPR/WPR/UR to 0.1. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. NSO unit-data rider: religion is self-reported and the survey is designed for labour-force estimation, so religion figures are indicative (no sub-state estimates). Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
unemployment-rate-15plus,national,IN,2017,christian,all,all,8.4,labour_force_15plus,23246,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-unemployment-rate-15plus-v1.0.0-20260611T011522Z,"Computed from PLFS 2017-18 unit-level microdata (first-visit person file, usual status ps+ss, age 15+, rural+urban, both sexes): unemployment rate (unemployed / labour force). Weight = MULT/100 (or /200 when NSS!=NSC) / NO_QTR; household religion joined from the household file. The run reproduces the round's published all-India LFPR/WPR/UR to 0.1. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. NSO unit-data rider: religion is self-reported and the survey is designed for labour-force estimation, so religion figures are indicative (no sub-state estimates). Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
