metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
urban-share,national,IN,2001,muslim,35.74,total_population_138188240,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Muslim urban: 49,393,496 of 138,188,240. National all-India urban share: 27.82%.",false
urban-share,national,IN,2001,hindu,26.14,total_population_827578868,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Hindu urban: 216,315,573 of 827,578,868. National all-India urban share: 27.82%.",false
urban-share,national,IN,2001,christian,34.0,total_population_24080016,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Christian urban: 8,186,058 of 24,080,016. National all-India urban share: 27.82%.",false
urban-share,national,IN,2001,sikh,26.59,total_population_19215730,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Sikh urban: 5,109,249 of 19,215,730. National all-India urban share: 27.82%.",false
urban-share,national,IN,2001,buddhist,38.49,total_population_7955207,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Buddhist urban: 3,061,597 of 7,955,207. National all-India urban share: 27.82%.",false
urban-share,national,IN,2001,jain,76.11,total_population_4225053,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Jain urban: 3,215,706 of 4,225,053. National all-India urban share: 27.82%.",false
urban-share,national,IN,2001,other,9.6,total_population_6639626,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Other urban: 637,158 of 6,639,626. National all-India urban share: 27.82%.",false
urban-share,national,IN,2001,all,27.82,total_population_1028610328,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. All urban: 286,119,689 of 1,028,610,328. National all-India urban share: 27.82%.",false
urban-share,national,IN,2011,muslim,39.91,total_population_172245158,,,,census-india-2011,sources/census-2011/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2011 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Muslim urban: 68,740,419 of 172,245,158. National all-India urban share: 31.14%.",false
urban-share,national,IN,2011,hindu,29.2,total_population_966257353,,,,census-india-2011,sources/census-2011/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2011 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Hindu urban: 282,163,402 of 966,257,353. National all-India urban share: 31.14%.",false
urban-share,national,IN,2011,christian,40.12,total_population_27819588,,,,census-india-2011,sources/census-2011/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2011 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Christian urban: 11,162,523 of 27,819,588. National all-India urban share: 31.14%.",false
urban-share,national,IN,2011,sikh,28.33,total_population_20833116,,,,census-india-2011,sources/census-2011/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2011 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Sikh urban: 5,902,324 of 20,833,116. National all-India urban share: 31.14%.",false
urban-share,national,IN,2011,buddhist,42.97,total_population_8442972,,,,census-india-2011,sources/census-2011/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2011 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Buddhist urban: 3,628,123 of 8,442,972. National all-India urban share: 31.14%.",false
urban-share,national,IN,2011,jain,79.68,total_population_4451753,,,,census-india-2011,sources/census-2011/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2011 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Jain urban: 3,546,944 of 4,451,753. National all-India urban share: 31.14%.",false
urban-share,national,IN,2011,other,9.31,total_population_7937734,,,,census-india-2011,sources/census-2011/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2011 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. Other urban: 738,727 of 7,937,734. National all-India urban share: 31.14%.",false
urban-share,national,IN,2011,all,31.14,total_population_1210854977,,,,census-india-2011,sources/census-2011/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2011 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons. All urban: 377,106,125 of 1,210,854,977. National all-India urban share: 31.14%.",false
urban-share,state,IN-S01,2001,muslim,22.15,total_population_6793240,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons for muslim in this state/UT. Muslim urban: 1,504,492 of 6,793,240. Urban share across all communities here: 24.81%.",false
urban-share,state,IN-S01,2001,hindu,29.34,total_population_3005349,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons for hindu in this state/UT. Hindu urban: 881,820 of 3,005,349. Urban share across all communities here: 24.81%.",false
urban-share,state,IN-S01,2001,christian,66.14,total_population_20299,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons for christian in this state/UT. Christian urban: 13,425 of 20,299. Urban share across all communities here: 24.81%.",false
urban-share,state,IN-S01,2001,sikh,46.13,total_population_207154,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons for sikh in this state/UT. Sikh urban: 95,551 of 207,154. Urban share across all communities here: 24.81%.",false
urban-share,state,IN-S01,2001,buddhist,16.71,total_population_113787,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons for buddhist in this state/UT. Buddhist urban: 19,019 of 113,787. Urban share across all communities here: 24.81%.",false
urban-share,state,IN-S01,2001,jain,81.02,total_population_2518,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-urban-share-v3.0.0-20260607T101704Z,"Census 2001 Table C-01 (Population by Religious Community). Urban share = urban_persons / total_persons for jain in this state/UT. Jain urban: 2,040 of 2,518. Urban share across all communities here: 24.81%.",false
