metric_id,geography_level,geography_code,year,religion,sex,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
wpr-15plus,national,IN,2023,muslim,all,all,53.2,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, both sexes.",false
wpr-15plus,national,IN,2023,muslim,all,urban,47.2,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, both sexes.",false
wpr-15plus,national,IN,2023,muslim,all,rural,56.7,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, both sexes.",false
wpr-15plus,national,IN,2023,muslim,male,all,78.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, males.",false
wpr-15plus,national,IN,2023,muslim,male,urban,75.7,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, males.",false
wpr-15plus,national,IN,2023,muslim,male,rural,79.6,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, males.",false
wpr-15plus,national,IN,2023,muslim,female,all,29.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, females.",false
wpr-15plus,national,IN,2023,muslim,female,urban,18.3,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, females.",false
wpr-15plus,national,IN,2023,muslim,female,rural,35.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, females.",false
wpr-15plus,national,IN,2023,hindu,all,all,59.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, both sexes.",false
wpr-15plus,national,IN,2023,hindu,all,urban,49.9,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, both sexes.",false
wpr-15plus,national,IN,2023,hindu,all,rural,62.9,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, both sexes.",false
wpr-15plus,national,IN,2023,hindu,male,all,76.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, males.",false
wpr-15plus,national,IN,2023,hindu,male,urban,71.9,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, males.",false
wpr-15plus,national,IN,2023,hindu,male,rural,78.0,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, males.",false
wpr-15plus,national,IN,2023,hindu,female,all,42.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, females.",false
wpr-15plus,national,IN,2023,hindu,female,urban,27.2,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), urban, females.",false
wpr-15plus,national,IN,2023,hindu,female,rural,48.1,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural, females.",false
wpr-15plus,national,IN,2023,christian,all,all,59.9,population_age_15plus,,,,plfs,sources/plfs/annual/plfs-annual-report-2023-24.pdf,canonicalize-wpr-15plus-v2.1.0-20260611T005144Z,"PLFS 2023-24 Table 48 (page 396-400). Usual status (ps+ss), rural+urban, both sexes.",false
