metric_id,geography_level,geography_code,year,religion,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
hospital-oop-spend,national,IN,2017,muslim,all,14827,per_hospitalisation_case,8997,,,nss75-health,sources/nss75-health/PROVENANCE-note.md,canonicalize-hospital-oop-spend-v1.0.0-20260612T051604Z,"Computed from NSS 75th round Sch 25.0 (Household Social Consumption: Health, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-health/): average out-of-pocket medical expenditure per hospitalisation case excluding childbirth during the last 365 days, rural+urban, weighted by the official multiplier (sub-sample-combined rule). OOPME = medical expenditure (fees, medicines, diagnostics, bed charges, package and other medical items; transport and food excluded) minus the amount reimbursed by insurance or employer. The estimator reproduces all nine published cells of NSS Report 586 Statement 3.15 (gross medical expenditure by hospital type and sector) within 0.01% and the Statement 3.19 reimbursement shares (rural 4.4%, urban 16.8%) exactly; the report publishes no by-religion expenditure table. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
hospital-oop-spend,national,IN,2017,muslim,rural,12813,per_hospitalisation_case,4543,,,nss75-health,sources/nss75-health/PROVENANCE-note.md,canonicalize-hospital-oop-spend-v1.0.0-20260612T051604Z,"Computed from NSS 75th round Sch 25.0 (Household Social Consumption: Health, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-health/): average out-of-pocket medical expenditure per hospitalisation case excluding childbirth during the last 365 days, rural, weighted by the official multiplier (sub-sample-combined rule). OOPME = medical expenditure (fees, medicines, diagnostics, bed charges, package and other medical items; transport and food excluded) minus the amount reimbursed by insurance or employer. The estimator reproduces all nine published cells of NSS Report 586 Statement 3.15 (gross medical expenditure by hospital type and sector) within 0.01% and the Statement 3.19 reimbursement shares (rural 4.4%, urban 16.8%) exactly; the report publishes no by-religion expenditure table. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
hospital-oop-spend,national,IN,2017,muslim,urban,17973,per_hospitalisation_case,4454,,,nss75-health,sources/nss75-health/PROVENANCE-note.md,canonicalize-hospital-oop-spend-v1.0.0-20260612T051604Z,"Computed from NSS 75th round Sch 25.0 (Household Social Consumption: Health, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-health/): average out-of-pocket medical expenditure per hospitalisation case excluding childbirth during the last 365 days, urban, weighted by the official multiplier (sub-sample-combined rule). OOPME = medical expenditure (fees, medicines, diagnostics, bed charges, package and other medical items; transport and food excluded) minus the amount reimbursed by insurance or employer. The estimator reproduces all nine published cells of NSS Report 586 Statement 3.15 (gross medical expenditure by hospital type and sector) within 0.01% and the Statement 3.19 reimbursement shares (rural 4.4%, urban 16.8%) exactly; the report publishes no by-religion expenditure table. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
hospital-oop-spend,national,IN,2017,hindu,all,18398,per_hospitalisation_case,50206,,,nss75-health,sources/nss75-health/PROVENANCE-note.md,canonicalize-hospital-oop-spend-v1.0.0-20260612T051604Z,"Computed from NSS 75th round Sch 25.0 (Household Social Consumption: Health, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-health/): average out-of-pocket medical expenditure per hospitalisation case excluding childbirth during the last 365 days, rural+urban, weighted by the official multiplier (sub-sample-combined rule). OOPME = medical expenditure (fees, medicines, diagnostics, bed charges, package and other medical items; transport and food excluded) minus the amount reimbursed by insurance or employer. The estimator reproduces all nine published cells of NSS Report 586 Statement 3.15 (gross medical expenditure by hospital type and sector) within 0.01% and the Statement 3.19 reimbursement shares (rural 4.4%, urban 16.8%) exactly; the report publishes no by-religion expenditure table. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
hospital-oop-spend,national,IN,2017,hindu,rural,16299,per_hospitalisation_case,28102,,,nss75-health,sources/nss75-health/PROVENANCE-note.md,canonicalize-hospital-oop-spend-v1.0.0-20260612T051604Z,"Computed from NSS 75th round Sch 25.0 (Household Social Consumption: Health, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-health/): average out-of-pocket medical expenditure per hospitalisation case excluding childbirth during the last 365 days, rural, weighted by the official multiplier (sub-sample-combined rule). OOPME = medical expenditure (fees, medicines, diagnostics, bed charges, package and other medical items; transport and food excluded) minus the amount reimbursed by insurance or employer. The estimator reproduces all nine published cells of NSS Report 586 Statement 3.15 (gross medical expenditure by hospital type and sector) within 0.01% and the Statement 3.19 reimbursement shares (rural 4.4%, urban 16.8%) exactly; the report publishes no by-religion expenditure table. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
hospital-oop-spend,national,IN,2017,hindu,urban,22403,per_hospitalisation_case,22104,,,nss75-health,sources/nss75-health/PROVENANCE-note.md,canonicalize-hospital-oop-spend-v1.0.0-20260612T051604Z,"Computed from NSS 75th round Sch 25.0 (Household Social Consumption: Health, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-health/): average out-of-pocket medical expenditure per hospitalisation case excluding childbirth during the last 365 days, urban, weighted by the official multiplier (sub-sample-combined rule). OOPME = medical expenditure (fees, medicines, diagnostics, bed charges, package and other medical items; transport and food excluded) minus the amount reimbursed by insurance or employer. The estimator reproduces all nine published cells of NSS Report 586 Statement 3.15 (gross medical expenditure by hospital type and sector) within 0.01% and the Statement 3.19 reimbursement shares (rural 4.4%, urban 16.8%) exactly; the report publishes no by-religion expenditure table. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
hospital-oop-spend,national,IN,2017,christian,all,19078,per_hospitalisation_case,4265,,,nss75-health,sources/nss75-health/PROVENANCE-note.md,canonicalize-hospital-oop-spend-v1.0.0-20260612T051604Z,"Computed from NSS 75th round Sch 25.0 (Household Social Consumption: Health, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-health/): average out-of-pocket medical expenditure per hospitalisation case excluding childbirth during the last 365 days, rural+urban, weighted by the official multiplier (sub-sample-combined rule). OOPME = medical expenditure (fees, medicines, diagnostics, bed charges, package and other medical items; transport and food excluded) minus the amount reimbursed by insurance or employer. The estimator reproduces all nine published cells of NSS Report 586 Statement 3.15 (gross medical expenditure by hospital type and sector) within 0.01% and the Statement 3.19 reimbursement shares (rural 4.4%, urban 16.8%) exactly; the report publishes no by-religion expenditure table. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
hospital-oop-spend,national,IN,2017,christian,rural,14464,per_hospitalisation_case,2534,,,nss75-health,sources/nss75-health/PROVENANCE-note.md,canonicalize-hospital-oop-spend-v1.0.0-20260612T051604Z,"Computed from NSS 75th round Sch 25.0 (Household Social Consumption: Health, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-health/): average out-of-pocket medical expenditure per hospitalisation case excluding childbirth during the last 365 days, rural, weighted by the official multiplier (sub-sample-combined rule). OOPME = medical expenditure (fees, medicines, diagnostics, bed charges, package and other medical items; transport and food excluded) minus the amount reimbursed by insurance or employer. The estimator reproduces all nine published cells of NSS Report 586 Statement 3.15 (gross medical expenditure by hospital type and sector) within 0.01% and the Statement 3.19 reimbursement shares (rural 4.4%, urban 16.8%) exactly; the report publishes no by-religion expenditure table. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
hospital-oop-spend,national,IN,2017,christian,urban,26957,per_hospitalisation_case,1731,,,nss75-health,sources/nss75-health/PROVENANCE-note.md,canonicalize-hospital-oop-spend-v1.0.0-20260612T051604Z,"Computed from NSS 75th round Sch 25.0 (Household Social Consumption: Health, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-health/): average out-of-pocket medical expenditure per hospitalisation case excluding childbirth during the last 365 days, urban, weighted by the official multiplier (sub-sample-combined rule). OOPME = medical expenditure (fees, medicines, diagnostics, bed charges, package and other medical items; transport and food excluded) minus the amount reimbursed by insurance or employer. The estimator reproduces all nine published cells of NSS Report 586 Statement 3.15 (gross medical expenditure by hospital type and sector) within 0.01% and the Statement 3.19 reimbursement shares (rural 4.4%, urban 16.8%) exactly; the report publishes no by-religion expenditure table. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
hospital-oop-spend,national,IN,2017,sikh,all,26796,per_hospitalisation_case,1443,,,nss75-health,sources/nss75-health/PROVENANCE-note.md,canonicalize-hospital-oop-spend-v1.0.0-20260612T051604Z,"Computed from NSS 75th round Sch 25.0 (Household Social Consumption: Health, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-health/): average out-of-pocket medical expenditure per hospitalisation case excluding childbirth during the last 365 days, rural+urban, weighted by the official multiplier (sub-sample-combined rule). OOPME = medical expenditure (fees, medicines, diagnostics, bed charges, package and other medical items; transport and food excluded) minus the amount reimbursed by insurance or employer. The estimator reproduces all nine published cells of NSS Report 586 Statement 3.15 (gross medical expenditure by hospital type and sector) within 0.01% and the Statement 3.19 reimbursement shares (rural 4.4%, urban 16.8%) exactly; the report publishes no by-religion expenditure table. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
