metric_id,geography_level,geography_code,year,religion,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
improved-water-premises,national,IN,2018,muslim,all,69.3,households,13790,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households whose principal source of drinking water is an improved source located within the household premises, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
improved-water-premises,national,IN,2018,muslim,rural,65.9,households,7392,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households whose principal source of drinking water is an improved source located within the household premises, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
improved-water-premises,national,IN,2018,muslim,urban,74.6,households,6398,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households whose principal source of drinking water is an improved source located within the household premises, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
improved-water-premises,national,IN,2018,hindu,all,62.5,households,81825,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households whose principal source of drinking water is an improved source located within the household premises, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
improved-water-premises,national,IN,2018,hindu,rural,54.3,households,49514,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households whose principal source of drinking water is an improved source located within the household premises, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
improved-water-premises,national,IN,2018,hindu,urban,79.0,households,32311,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households whose principal source of drinking water is an improved source located within the household premises, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
improved-water-premises,national,IN,2018,christian,all,51.9,households,6338,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households whose principal source of drinking water is an improved source located within the household premises, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
improved-water-premises,national,IN,2018,christian,rural,40.5,households,3912,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households whose principal source of drinking water is an improved source located within the household premises, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
improved-water-premises,national,IN,2018,christian,urban,70.0,households,2426,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households whose principal source of drinking water is an improved source located within the household premises, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
improved-water-premises,national,IN,2018,sikh,all,90.7,households,1612,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households whose principal source of drinking water is an improved source located within the household premises, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
