metric_id,geography_level,geography_code,year,religion,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
imr,national,IN,2020,muslim,all,33.03,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (27.8/36.5), weighted to total residence using Census 2011 urban/rural population by religion (68,740,419/103,504,739). Year=2020 = midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,muslim,urban,27.8,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 urban IMR by religion, as published. Year=2020.",false
imr,national,IN,2020,muslim,rural,36.5,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 rural IMR by religion, as published. Year=2020.",false
imr,national,IN,2020,hindu,all,35.4,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (26.9/38.9), weighted to total residence using Census 2011 urban/rural population by religion (282,163,402/684,093,951). Year=2020 = midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,hindu,urban,26.9,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 urban IMR by religion, as published. Year=2020.",false
imr,national,IN,2020,hindu,rural,38.9,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 rural IMR by religion, as published. Year=2020.",false
imr,national,IN,2020,christian,all,25.23,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (12.6/33.7), weighted to total residence using Census 2011 urban/rural population by religion (11,162,523/16,657,065). Year=2020 = midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,christian,urban,12.6,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 urban IMR by religion, as published. Year=2020.",false
imr,national,IN,2020,christian,rural,33.7,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 rural IMR by religion, as published. Year=2020.",false
imr,national,IN,2020,sikh,all,28.42,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 urban/rural IMR by religion (19.6/31.9), weighted to total residence using Census 2011 urban/rural population by religion (5,902,324/14,930,792). Year=2020 = midpoint of the 5-year period preceding NFHS-5 (2014-2020 approx).",false
imr,national,IN,2020,sikh,urban,19.6,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 urban IMR by religion, as published. Year=2020.",false
imr,national,IN,2020,sikh,rural,31.9,live_births,,,,nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,canonicalize-imr-v1.0.0-20260610T012416Z,"NFHS-5 Table 7.2 rural IMR by religion, as published. Year=2020.",false
