metric_id,geography_level,geography_code,year,religion,age_band,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
pop-share-by-age,national,IN,2011,muslim,0-4,17.23,muslim_19435236 / total_112806778,112806778,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v1.0.0-20260614T033043Z,"Muslim share of the 0-4 age cohort (Census 2011 C-15, all-residence). 19,435,236 of 112,806,778.",false
pop-share-by-age,national,IN,2011,muslim,5-9,16.92,muslim_21478536 / total_126928126,126928126,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v1.0.0-20260614T033043Z,"Muslim share of the 5-9 age cohort (Census 2011 C-15, all-residence). 21,478,536 of 126,928,126.",false
pop-share-by-age,national,IN,2011,muslim,10-14,16.16,muslim_21451442 / total_132709212,132709212,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v1.0.0-20260614T033043Z,"Muslim share of the 10-14 age cohort (Census 2011 C-15, all-residence). 21,451,442 of 132,709,212.",false
pop-share-by-age,national,IN,2011,muslim,15-19,15.85,muslim_19101614 / total_120526449,120526449,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v1.0.0-20260614T033043Z,"Muslim share of the 15-19 age cohort (Census 2011 C-15, all-residence). 19,101,614 of 120,526,449.",false
pop-share-by-age,national,IN,2011,muslim,20-24,14.93,muslim_16640317 / total_111424222,111424222,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v1.0.0-20260614T033043Z,"Muslim share of the 20-24 age cohort (Census 2011 C-15, all-residence). 16,640,317 of 111,424,222.",false
pop-share-by-age,national,IN,2011,muslim,25-29,13.73,muslim_13927787 / total_101413965,101413965,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v1.0.0-20260614T033043Z,"Muslim share of the 25-29 age cohort (Census 2011 C-15, all-residence). 13,927,787 of 101,413,965.",false
pop-share-by-age,national,IN,2011,muslim,30-34,13.03,muslim_11540455 / total_88594951,88594951,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v1.0.0-20260614T033043Z,"Muslim share of the 30-34 age cohort (Census 2011 C-15, all-residence). 11,540,455 of 88,594,951.",false
pop-share-by-age,national,IN,2011,muslim,35-39,12.77,muslim_10873884 / total_85140684,85140684,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v1.0.0-20260614T033043Z,"Muslim share of the 35-39 age cohort (Census 2011 C-15, all-residence). 10,873,884 of 85,140,684.",false
pop-share-by-age,national,IN,2011,muslim,40-44,12.27,muslim_8890392 / total_72438112,72438112,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v1.0.0-20260614T033043Z,"Muslim share of the 40-44 age cohort (Census 2011 C-15, all-residence). 8,890,392 of 72,438,112.",false
pop-share-by-age,national,IN,2011,muslim,45-49,11.7,muslim_7291929 / total_62318327,62318327,,,census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,canonicalize-pop-share-by-age-v1.0.0-20260614T033043Z,"Muslim share of the 45-49 age cohort (Census 2011 C-15, all-residence). 7,291,929 of 62,318,327.",false
