district_code,state,district,year,religion,value,source
IN-S01-D001,Jammu & Kashmir,Kupwara,2011,muslim,94.5921,census-india-2011
IN-S01-D002,Jammu & Kashmir,Badgam,2011,muslim,97.6529,census-india-2011
IN-S01-D003,Jammu & Kashmir,Leh(Ladakh),2011,muslim,14.2763,census-india-2011
IN-S01-D004,Jammu & Kashmir,Kargil,2011,muslim,76.8732,census-india-2011
IN-S01-D005,Jammu & Kashmir,Punch,2011,muslim,90.4462,census-india-2011
IN-S01-D006,Jammu & Kashmir,Rajouri,2011,muslim,62.7132,census-india-2011
IN-S01-D007,Jammu & Kashmir,Kathua,2011,muslim,10.4202,census-india-2011
IN-S01-D008,Jammu & Kashmir,Baramula,2011,muslim,95.1536,census-india-2011
IN-S01-D009,Jammu & Kashmir,Bandipore,2011,muslim,97.3929,census-india-2011
IN-S01-D010,Jammu & Kashmir,Srinagar,2011,muslim,95.1904,census-india-2011
IN-S01-D011,Jammu & Kashmir,Ganderbal,2011,muslim,97.692,census-india-2011
IN-S01-D012,Jammu & Kashmir,Pulwama,2011,muslim,95.4891,census-india-2011
IN-S01-D013,Jammu & Kashmir,Shupiyan,2011,muslim,98.5155,census-india-2011
IN-S01-D014,Jammu & Kashmir,Anantnag,2011,muslim,97.9895,census-india-2011
IN-S01-D015,Jammu & Kashmir,Kulgam,2011,muslim,98.4906,census-india-2011
IN-S01-D016,Jammu & Kashmir,Doda,2011,muslim,53.8167,census-india-2011
IN-S01-D017,Jammu & Kashmir,Ramban,2011,muslim,70.6756,census-india-2011
IN-S01-D018,Jammu & Kashmir,Kishtwar,2011,muslim,57.7492,census-india-2011
IN-S01-D019,Jammu & Kashmir,Udhampur,2011,muslim,10.7698,census-india-2011
IN-S01-D020,Jammu & Kashmir,Reasi,2011,muslim,49.6636,census-india-2011
IN-S01-D021,Jammu & Kashmir,Jammu,2011,muslim,7.0256,census-india-2011
IN-S01-D022,Jammu & Kashmir,Samba,2011,muslim,7.1967,census-india-2011
IN-S02-D023,Himachal Pradesh,Chamba,2011,muslim,6.2524,census-india-2011
IN-S02-D024,Himachal Pradesh,Kangra,2011,muslim,1.311,census-india-2011
