metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
pop-share,national,IN,1961,hindu,83.45,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1961,muslim,10.69,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1961,christian,2.44,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1961,sikh,1.79,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1961,buddhist,0.74,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1961,jain,0.46,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1971,hindu,82.73,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1971,muslim,11.21,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1971,christian,2.6,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1971,sikh,1.89,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1971,buddhist,0.7,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1971,jain,0.48,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011.",false
pop-share,national,IN,1981,hindu,82.3,all_persons_at_geography_total_residence,,,,census-decadal-religion,(manual entry — see methodology_note),canonicalize-pop-share-v2.0.0-20260529T091946Z,"SECONDARY (manual entry): Census of India decadal religion proportion, cross-checked against primary C-01 at 2001/2011. 1981 excludes Assam (not enumerated).",false
