metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
prison-rate-per-100k,national,IN,2022,muslim,63.26,"population_per_100k (count=108968, pop=172245158)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Cross-source: NCRB PSI 2022 prisoner counts (STATES+UTs subtotals across all 4 categories: convicts + undertrials + detenues + other prisoners) divided by Census 2011 national religious population times 100,000. NCRB 'others' bucket (Buddhist/Jain/Parsi/not-stated) omitted, with no clean population denominator. Caveat: Maharashtra did not report religion for ~33k undertrials/detenues; the religion-reported numerator excludes those, so rates are mildly understated.",false
prison-rate-per-100k,national,IN,2022,hindu,39.79,"population_per_100k (count=384522, pop=966257353)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Cross-source: NCRB PSI 2022 prisoner counts (STATES+UTs subtotals across all 4 categories: convicts + undertrials + detenues + other prisoners) divided by Census 2011 national religious population times 100,000. NCRB 'others' bucket (Buddhist/Jain/Parsi/not-stated) omitted, with no clean population denominator. Caveat: Maharashtra did not report religion for ~33k undertrials/detenues; the religion-reported numerator excludes those, so rates are mildly understated.",false
prison-rate-per-100k,national,IN,2022,christian,56.49,"population_per_100k (count=15715, pop=27819588)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Cross-source: NCRB PSI 2022 prisoner counts (STATES+UTs subtotals across all 4 categories: convicts + undertrials + detenues + other prisoners) divided by Census 2011 national religious population times 100,000. NCRB 'others' bucket (Buddhist/Jain/Parsi/not-stated) omitted, with no clean population denominator. Caveat: Maharashtra did not report religion for ~33k undertrials/detenues; the religion-reported numerator excludes those, so rates are mildly understated.",false
prison-rate-per-100k,national,IN,2022,sikh,124.54,"population_per_100k (count=25945, pop=20833116)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Cross-source: NCRB PSI 2022 prisoner counts (STATES+UTs subtotals across all 4 categories: convicts + undertrials + detenues + other prisoners) divided by Census 2011 national religious population times 100,000. NCRB 'others' bucket (Buddhist/Jain/Parsi/not-stated) omitted, with no clean population denominator. Caveat: Maharashtra did not report religion for ~33k undertrials/detenues; the religion-reported numerator excludes those, so rates are mildly understated.",false
prison-rate-per-100k,national,IN,2022,all,44.61,"population_per_100k (count=540148, pop=1210854977)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Cross-source: NCRB PSI 2022 prisoner counts (STATES+UTs subtotals across all 4 categories: convicts + undertrials + detenues + other prisoners) divided by Census 2011 national religious population times 100,000. NCRB 'others' bucket (Buddhist/Jain/Parsi/not-stated) omitted, with no clean population denominator. Caveat: Maharashtra did not report religion for ~33k undertrials/detenues; the religion-reported numerator excludes those, so rates are mildly understated.",false
prison-rate-per-100k,state,IN-S01,2022,muslim,44.53,"population_per_100k (count=3815, pop=8567485)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S01,2022,hindu,35.5,"population_per_100k (count=1266, pop=3566674)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S01,2022,christian,47.71,"population_per_100k (count=17, pop=35631)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S01,2022,sikh,89.42,"population_per_100k (count=210, pop=234848)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S02,2022,muslim,113.42,"population_per_100k (count=170, pop=149881)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S02,2022,hindu,39.26,"population_per_100k (count=2565, pop=6532765)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S02,2022,christian,166.06,"population_per_100k (count=21, pop=12646)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S02,2022,sikh,108.89,"population_per_100k (count=87, pop=79896)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S03,2022,muslim,278.25,"population_per_100k (count=1490, pop=535489)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S03,2022,hindu,84.2,"population_per_100k (count=8991, pop=10678138)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S03,2022,christian,367.57,"population_per_100k (count=1280, pop=348230)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S03,2022,sikh,115.13,"population_per_100k (count=18427, pop=16004754)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S04,2022,muslim,174.94,"population_per_100k (count=90, pop=51447)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S04,2022,hindu,118.58,"population_per_100k (count=1011, pop=852574)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
prison-rate-per-100k,state,IN-S04,2022,christian,149.08,"population_per_100k (count=13, pop=8720)",,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-rate-per-100k-v1.1.0-20260610T062628Z,"Per-state rate: NCRB PSI 2022 per-state prisoner counts (all 4 categories) / Census 2011 per-state religious population times 100,000. Same caveats as the national row (NCRB 'others' omitted; Maharashtra under-reported religion, understating its rate). Small states with few Muslims give volatile rates.",false
