metric_id,geography_level,geography_code,year,religion,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
prison-share,national,IN,2018,muslim,20.24,total_prison_population_religion_reported_439108,,,,ncrb-prison,sources/ncrb-prison/psi-2018.pdf,canonicalize-prison-share-v2.0.0-20260529T175207Z,"NCRB PSI 2018 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Muslim share among prisoners whose religion was reported: sum of religion columns across STATES+UTs subtotals (= ALL-INDIA by construction; auto-excludes states that did not report religion, e.g. Maharashtra in several years). Muslim count: 88,890, religion-reported total: 439,108. Compare vs Muslim share of population ~14.23% (Census 2011).",false
prison-share,national,IN,2018,hindu,71.52,total_prison_population_religion_reported_439108,,,,ncrb-prison,sources/ncrb-prison/psi-2018.pdf,canonicalize-prison-share-v2.0.0-20260529T175207Z,"NCRB PSI 2018 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Muslim share among prisoners whose religion was reported: sum of religion columns across STATES+UTs subtotals (= ALL-INDIA by construction; auto-excludes states that did not report religion, e.g. Maharashtra in several years). Hindu count: 314,064, religion-reported total: 439,108. Compare vs Muslim share of population ~14.23% (Census 2011).",false
prison-share,national,IN,2019,muslim,19.39,total_prison_population_religion_reported_450898,,,,ncrb-prison,sources/ncrb-prison/psi-2019.pdf,canonicalize-prison-share-v2.0.0-20260529T175207Z,"NCRB PSI 2019 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Muslim share among prisoners whose religion was reported: sum of religion columns across STATES+UTs subtotals (= ALL-INDIA by construction; auto-excludes states that did not report religion, e.g. Maharashtra in several years). Muslim count: 87,421, religion-reported total: 450,898. Compare vs Muslim share of population ~14.23% (Census 2011).",false
prison-share,national,IN,2019,hindu,72.48,total_prison_population_religion_reported_450898,,,,ncrb-prison,sources/ncrb-prison/psi-2019.pdf,canonicalize-prison-share-v2.0.0-20260529T175207Z,"NCRB PSI 2019 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Muslim share among prisoners whose religion was reported: sum of religion columns across STATES+UTs subtotals (= ALL-INDIA by construction; auto-excludes states that did not report religion, e.g. Maharashtra in several years). Hindu count: 326,798, religion-reported total: 450,898. Compare vs Muslim share of population ~14.23% (Census 2011).",false
prison-share,national,IN,2021,muslim,18.71,total_prison_population_religion_reported_522042,,,,ncrb-prison,sources/ncrb-prison/psi-2021.pdf,canonicalize-prison-share-v2.0.0-20260529T175207Z,"NCRB PSI 2021 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Muslim share among prisoners whose religion was reported: sum of religion columns across STATES+UTs subtotals (= ALL-INDIA by construction; auto-excludes states that did not report religion, e.g. Maharashtra in several years). Muslim count: 97,650, religion-reported total: 522,042. Compare vs Muslim share of population ~14.23% (Census 2011).",false
prison-share,national,IN,2021,hindu,73.63,total_prison_population_religion_reported_522042,,,,ncrb-prison,sources/ncrb-prison/psi-2021.pdf,canonicalize-prison-share-v2.0.0-20260529T175207Z,"NCRB PSI 2021 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Muslim share among prisoners whose religion was reported: sum of religion columns across STATES+UTs subtotals (= ALL-INDIA by construction; auto-excludes states that did not report religion, e.g. Maharashtra in several years). Hindu count: 384,389, religion-reported total: 522,042. Compare vs Muslim share of population ~14.23% (Census 2011).",false
prison-share,national,IN,2022,muslim,20.17,total_prison_population_religion_reported_540148,,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-share-v2.0.0-20260529T175207Z,"NCRB PSI 2022 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Muslim share among prisoners whose religion was reported: sum of religion columns across STATES+UTs subtotals (= ALL-INDIA by construction; auto-excludes states that did not report religion, e.g. Maharashtra in several years). Muslim count: 108,968, religion-reported total: 540,148. Compare vs Muslim share of population ~14.23% (Census 2011).",false
prison-share,national,IN,2022,hindu,71.19,total_prison_population_religion_reported_540148,,,,ncrb-prison,sources/ncrb-prison/psi-2022.pdf,canonicalize-prison-share-v2.0.0-20260529T175207Z,"NCRB PSI 2022 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Muslim share among prisoners whose religion was reported: sum of religion columns across STATES+UTs subtotals (= ALL-INDIA by construction; auto-excludes states that did not report religion, e.g. Maharashtra in several years). Hindu count: 384,522, religion-reported total: 540,148. Compare vs Muslim share of population ~14.23% (Census 2011).",false
prison-share,national,IN,2023,muslim,19.08,total_prison_population_religion_reported_497528,,,,ncrb-prison,sources/ncrb-prison/psi-2023.pdf,canonicalize-prison-share-v2.0.0-20260529T175207Z,"NCRB PSI 2023 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Muslim share among prisoners whose religion was reported: sum of religion columns across STATES+UTs subtotals (= ALL-INDIA by construction; auto-excludes states that did not report religion, e.g. Maharashtra in several years). Muslim count: 94,950, religion-reported total: 497,528. Compare vs Muslim share of population ~14.23% (Census 2011).",false
prison-share,national,IN,2023,hindu,71.85,total_prison_population_religion_reported_497528,,,,ncrb-prison,sources/ncrb-prison/psi-2023.pdf,canonicalize-prison-share-v2.0.0-20260529T175207Z,"NCRB PSI 2023 Tables 2.10C-2.13C combined (convicts + undertrials + detenues + other prisoners). Muslim share among prisoners whose religion was reported: sum of religion columns across STATES+UTs subtotals (= ALL-INDIA by construction; auto-excludes states that did not report religion, e.g. Maharashtra in several years). Hindu count: 357,490, religion-reported total: 497,528. Compare vs Muslim share of population ~14.23% (Census 2011).",false
