metric_id,geography_level,geography_code,year,religion,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
pucca-house,national,IN,2018,muslim,all,83.6,households,13786,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,muslim,rural,75.9,households,7392,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,muslim,urban,95.7,households,6394,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,hindu,all,83.3,households,81796,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,hindu,rural,76.8,households,49510,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,hindu,urban,96.2,households,32286,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,christian,all,79.4,households,6338,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,christian,rural,71.1,households,3912,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,christian,urban,92.6,households,2426,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,sikh,all,97.0,households,1612,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,sikh,rural,96.0,households,1061,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,sikh,urban,99.4,households,551,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,all,all,83.3,households,106804,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, rural+urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,all,rural,76.7,households,63732,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, rural, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
pucca-house,national,IN,2018,all,urban,96.0,households,43072,,,nss76-housing,sources/nss76/PROVENANCE-note.md,canonicalize-nss76-housing-v1.0.0-20260611T050102Z,"Computed from NSS 76th round Schedule 1.2 (Drinking Water, Sanitation, Hygiene and Housing Condition, July-December 2018) unit-level microdata: share of households living in a pucca (permanent-material) structure, urban, by religion of household head, weighted by the official multiplier. Source data is the original fixed-width TXT distribution still served by mospi.gov.in (MoSPI's current NADA catalog ships this survey only as a proprietary binary); sha256 + re-fetch URLs committed in sources/nss76/. The extraction reproduces the published Report 584 all-India values across 24 validation cells to a worst gap of 0.24 percentage points. NSO unit-data rider: religion is self-reported and the survey is stratified for states, so the split is indicative and no sub-state estimates are made. Year=2018 = survey period (Jul-Dec 2018).",false
