metric_id,geography_level,geography_code,year,religion,sex,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
salaried-earnings,national,IN,2017,muslim,all,all,12015,regular_salaried_employees_15plus,4691,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-salaried-earnings-v1.0.0-20260611T042046Z,"Computed from PLFS 2017-18 unit-level microdata: average gross earnings during the preceding calendar month from the regular salaried/wage activity (schedule block 6 item 9, asked of persons with current weekly status 31/71/72), age 15+, rural+urban, both sexes, weighted by the official annual first-visit weight; household religion joined from the household file. The published reports never break earnings down by religion; the same estimator reproduces the published all-ages earnings tables (2021-22 to 2023-24 reports) across all 27 cells within 0.03% with exactly matching sample counts. Nominal rupees (levels reflect inflation; the comparable story is the relative gap - Muslim earnings run 16-23% below the all-India average in every round). NSO unit-data rider: religion is self-reported; no sub-state estimates. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
salaried-earnings,national,IN,2017,muslim,male,all,12450,regular_salaried_employees_15plus,4000,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-salaried-earnings-v1.0.0-20260611T042046Z,"Computed from PLFS 2017-18 unit-level microdata: average gross earnings during the preceding calendar month from the regular salaried/wage activity (schedule block 6 item 9, asked of persons with current weekly status 31/71/72), age 15+, rural+urban, males, weighted by the official annual first-visit weight; household religion joined from the household file. The published reports never break earnings down by religion; the same estimator reproduces the published all-ages earnings tables (2021-22 to 2023-24 reports) across all 27 cells within 0.03% with exactly matching sample counts. Nominal rupees (levels reflect inflation; the comparable story is the relative gap - Muslim earnings run 16-23% below the all-India average in every round). NSO unit-data rider: religion is self-reported; no sub-state estimates. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
salaried-earnings,national,IN,2017,muslim,female,all,9317,regular_salaried_employees_15plus,691,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-salaried-earnings-v1.0.0-20260611T042046Z,"Computed from PLFS 2017-18 unit-level microdata: average gross earnings during the preceding calendar month from the regular salaried/wage activity (schedule block 6 item 9, asked of persons with current weekly status 31/71/72), age 15+, rural+urban, females, weighted by the official annual first-visit weight; household religion joined from the household file. The published reports never break earnings down by religion; the same estimator reproduces the published all-ages earnings tables (2021-22 to 2023-24 reports) across all 27 cells within 0.03% with exactly matching sample counts. Nominal rupees (levels reflect inflation; the comparable story is the relative gap - Muslim earnings run 16-23% below the all-India average in every round). NSO unit-data rider: religion is self-reported; no sub-state estimates. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
salaried-earnings,national,IN,2017,muslim,all,rural,11320,regular_salaried_employees_15plus,1540,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-salaried-earnings-v1.0.0-20260611T042046Z,"Computed from PLFS 2017-18 unit-level microdata: average gross earnings during the preceding calendar month from the regular salaried/wage activity (schedule block 6 item 9, asked of persons with current weekly status 31/71/72), age 15+, rural, both sexes, weighted by the official annual first-visit weight; household religion joined from the household file. The published reports never break earnings down by religion; the same estimator reproduces the published all-ages earnings tables (2021-22 to 2023-24 reports) across all 27 cells within 0.03% with exactly matching sample counts. Nominal rupees (levels reflect inflation; the comparable story is the relative gap - Muslim earnings run 16-23% below the all-India average in every round). NSO unit-data rider: religion is self-reported; no sub-state estimates. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
salaried-earnings,national,IN,2017,muslim,male,rural,11873,regular_salaried_employees_15plus,1317,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-salaried-earnings-v1.0.0-20260611T042046Z,"Computed from PLFS 2017-18 unit-level microdata: average gross earnings during the preceding calendar month from the regular salaried/wage activity (schedule block 6 item 9, asked of persons with current weekly status 31/71/72), age 15+, rural, males, weighted by the official annual first-visit weight; household religion joined from the household file. The published reports never break earnings down by religion; the same estimator reproduces the published all-ages earnings tables (2021-22 to 2023-24 reports) across all 27 cells within 0.03% with exactly matching sample counts. Nominal rupees (levels reflect inflation; the comparable story is the relative gap - Muslim earnings run 16-23% below the all-India average in every round). NSO unit-data rider: religion is self-reported; no sub-state estimates. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
salaried-earnings,national,IN,2017,muslim,female,rural,7695,regular_salaried_employees_15plus,223,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-salaried-earnings-v1.0.0-20260611T042046Z,"Computed from PLFS 2017-18 unit-level microdata: average gross earnings during the preceding calendar month from the regular salaried/wage activity (schedule block 6 item 9, asked of persons with current weekly status 31/71/72), age 15+, rural, females, weighted by the official annual first-visit weight; household religion joined from the household file. The published reports never break earnings down by religion; the same estimator reproduces the published all-ages earnings tables (2021-22 to 2023-24 reports) across all 27 cells within 0.03% with exactly matching sample counts. Nominal rupees (levels reflect inflation; the comparable story is the relative gap - Muslim earnings run 16-23% below the all-India average in every round). NSO unit-data rider: religion is self-reported; no sub-state estimates. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
salaried-earnings,national,IN,2017,muslim,all,urban,12483,regular_salaried_employees_15plus,3151,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-salaried-earnings-v1.0.0-20260611T042046Z,"Computed from PLFS 2017-18 unit-level microdata: average gross earnings during the preceding calendar month from the regular salaried/wage activity (schedule block 6 item 9, asked of persons with current weekly status 31/71/72), age 15+, urban, both sexes, weighted by the official annual first-visit weight; household religion joined from the household file. The published reports never break earnings down by religion; the same estimator reproduces the published all-ages earnings tables (2021-22 to 2023-24 reports) across all 27 cells within 0.03% with exactly matching sample counts. Nominal rupees (levels reflect inflation; the comparable story is the relative gap - Muslim earnings run 16-23% below the all-India average in every round). NSO unit-data rider: religion is self-reported; no sub-state estimates. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
salaried-earnings,national,IN,2017,muslim,male,urban,12842,regular_salaried_employees_15plus,2683,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-salaried-earnings-v1.0.0-20260611T042046Z,"Computed from PLFS 2017-18 unit-level microdata: average gross earnings during the preceding calendar month from the regular salaried/wage activity (schedule block 6 item 9, asked of persons with current weekly status 31/71/72), age 15+, urban, males, weighted by the official annual first-visit weight; household religion joined from the household file. The published reports never break earnings down by religion; the same estimator reproduces the published all-ages earnings tables (2021-22 to 2023-24 reports) across all 27 cells within 0.03% with exactly matching sample counts. Nominal rupees (levels reflect inflation; the comparable story is the relative gap - Muslim earnings run 16-23% below the all-India average in every round). NSO unit-data rider: religion is self-reported; no sub-state estimates. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
salaried-earnings,national,IN,2017,muslim,female,urban,10330,regular_salaried_employees_15plus,468,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-salaried-earnings-v1.0.0-20260611T042046Z,"Computed from PLFS 2017-18 unit-level microdata: average gross earnings during the preceding calendar month from the regular salaried/wage activity (schedule block 6 item 9, asked of persons with current weekly status 31/71/72), age 15+, urban, females, weighted by the official annual first-visit weight; household religion joined from the household file. The published reports never break earnings down by religion; the same estimator reproduces the published all-ages earnings tables (2021-22 to 2023-24 reports) across all 27 cells within 0.03% with exactly matching sample counts. Nominal rupees (levels reflect inflation; the comparable story is the relative gap - Muslim earnings run 16-23% below the all-India average in every round). NSO unit-data rider: religion is self-reported; no sub-state estimates. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
salaried-earnings,national,IN,2017,hindu,all,all,15817,regular_salaried_employees_15plus,32437,,,plfs-microdata,sources/nada/plfs-2017-18/CSV_PLFS_July2017_June2018.zip,canonicalize-salaried-earnings-v1.0.0-20260611T042046Z,"Computed from PLFS 2017-18 unit-level microdata: average gross earnings during the preceding calendar month from the regular salaried/wage activity (schedule block 6 item 9, asked of persons with current weekly status 31/71/72), age 15+, rural+urban, both sexes, weighted by the official annual first-visit weight; household religion joined from the household file. The published reports never break earnings down by religion; the same estimator reproduces the published all-ages earnings tables (2021-22 to 2023-24 reports) across all 27 cells within 0.03% with exactly matching sample counts. Nominal rupees (levels reflect inflation; the comparable story is the relative gap - Muslim earnings run 16-23% below the all-India average in every round). NSO unit-data rider: religion is self-reported; no sub-state estimates. Pulled via the MoSPI NADA API; zip sha256 in sources/nada/plfs-2017-18/. Year=2017 is the start of the Jul-2017 to Jun-2018 reference period.",false
