metric_id,geography_level,geography_code,year,religion,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
school-edu-spend,national,IN,2017,muslim,all,5532,per_enrolled_student,17891,,,nss75-education,sources/nss75-education/PROVENANCE-note.md,canonicalize-school-edu-spend-v1.0.0-20260612T054155Z,"Computed from NSS 75th round Sch 25.2 (Household Social Consumption: Education, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-education/): average expenditure per student enrolled at school levels (pre-primary to higher secondary, incl. diploma/certificate up to higher-secondary equivalent) on the basic course during the current academic year, rural+urban, weighted by the official multiplier (sub-sample-combined rule). Counts course fees, books, stationery and uniform, transport and other items; private coaching excluded to match the CMS:E 2025 headline construct. The estimator reproduces all 27 published anchor cells of NSS Report 585 Statements 19 and 21 (total basic-course expenditure by course type, and by school level for general-course students) within 0.01%; the report never splits expenditure by religion. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
school-edu-spend,national,IN,2017,muslim,rural,3233,per_enrolled_student,9659,,,nss75-education,sources/nss75-education/PROVENANCE-note.md,canonicalize-school-edu-spend-v1.0.0-20260612T054155Z,"Computed from NSS 75th round Sch 25.2 (Household Social Consumption: Education, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-education/): average expenditure per student enrolled at school levels (pre-primary to higher secondary, incl. diploma/certificate up to higher-secondary equivalent) on the basic course during the current academic year, rural, weighted by the official multiplier (sub-sample-combined rule). Counts course fees, books, stationery and uniform, transport and other items; private coaching excluded to match the CMS:E 2025 headline construct. The estimator reproduces all 27 published anchor cells of NSS Report 585 Statements 19 and 21 (total basic-course expenditure by course type, and by school level for general-course students) within 0.01%; the report never splits expenditure by religion. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
school-edu-spend,national,IN,2017,muslim,urban,9695,per_enrolled_student,8232,,,nss75-education,sources/nss75-education/PROVENANCE-note.md,canonicalize-school-edu-spend-v1.0.0-20260612T054155Z,"Computed from NSS 75th round Sch 25.2 (Household Social Consumption: Education, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-education/): average expenditure per student enrolled at school levels (pre-primary to higher secondary, incl. diploma/certificate up to higher-secondary equivalent) on the basic course during the current academic year, urban, weighted by the official multiplier (sub-sample-combined rule). Counts course fees, books, stationery and uniform, transport and other items; private coaching excluded to match the CMS:E 2025 headline construct. The estimator reproduces all 27 published anchor cells of NSS Report 585 Statements 19 and 21 (total basic-course expenditure by course type, and by school level for general-course students) within 0.01%; the report never splits expenditure by religion. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
school-edu-spend,national,IN,2017,hindu,all,7050,per_enrolled_student,88507,,,nss75-education,sources/nss75-education/PROVENANCE-note.md,canonicalize-school-edu-spend-v1.0.0-20260612T054155Z,"Computed from NSS 75th round Sch 25.2 (Household Social Consumption: Education, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-education/): average expenditure per student enrolled at school levels (pre-primary to higher secondary, incl. diploma/certificate up to higher-secondary equivalent) on the basic course during the current academic year, rural+urban, weighted by the official multiplier (sub-sample-combined rule). Counts course fees, books, stationery and uniform, transport and other items; private coaching excluded to match the CMS:E 2025 headline construct. The estimator reproduces all 27 published anchor cells of NSS Report 585 Statements 19 and 21 (total basic-course expenditure by course type, and by school level for general-course students) within 0.01%; the report never splits expenditure by religion. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
school-edu-spend,national,IN,2017,hindu,rural,4307,per_enrolled_student,56173,,,nss75-education,sources/nss75-education/PROVENANCE-note.md,canonicalize-school-edu-spend-v1.0.0-20260612T054155Z,"Computed from NSS 75th round Sch 25.2 (Household Social Consumption: Education, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-education/): average expenditure per student enrolled at school levels (pre-primary to higher secondary, incl. diploma/certificate up to higher-secondary equivalent) on the basic course during the current academic year, rural, weighted by the official multiplier (sub-sample-combined rule). Counts course fees, books, stationery and uniform, transport and other items; private coaching excluded to match the CMS:E 2025 headline construct. The estimator reproduces all 27 published anchor cells of NSS Report 585 Statements 19 and 21 (total basic-course expenditure by course type, and by school level for general-course students) within 0.01%; the report never splits expenditure by religion. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
school-edu-spend,national,IN,2017,hindu,urban,15081,per_enrolled_student,32334,,,nss75-education,sources/nss75-education/PROVENANCE-note.md,canonicalize-school-edu-spend-v1.0.0-20260612T054155Z,"Computed from NSS 75th round Sch 25.2 (Household Social Consumption: Education, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-education/): average expenditure per student enrolled at school levels (pre-primary to higher secondary, incl. diploma/certificate up to higher-secondary equivalent) on the basic course during the current academic year, urban, weighted by the official multiplier (sub-sample-combined rule). Counts course fees, books, stationery and uniform, transport and other items; private coaching excluded to match the CMS:E 2025 headline construct. The estimator reproduces all 27 published anchor cells of NSS Report 585 Statements 19 and 21 (total basic-course expenditure by course type, and by school level for general-course students) within 0.01%; the report never splits expenditure by religion. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
school-edu-spend,national,IN,2017,christian,all,8775,per_enrolled_student,8863,,,nss75-education,sources/nss75-education/PROVENANCE-note.md,canonicalize-school-edu-spend-v1.0.0-20260612T054155Z,"Computed from NSS 75th round Sch 25.2 (Household Social Consumption: Education, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-education/): average expenditure per student enrolled at school levels (pre-primary to higher secondary, incl. diploma/certificate up to higher-secondary equivalent) on the basic course during the current academic year, rural+urban, weighted by the official multiplier (sub-sample-combined rule). Counts course fees, books, stationery and uniform, transport and other items; private coaching excluded to match the CMS:E 2025 headline construct. The estimator reproduces all 27 published anchor cells of NSS Report 585 Statements 19 and 21 (total basic-course expenditure by course type, and by school level for general-course students) within 0.01%; the report never splits expenditure by religion. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
school-edu-spend,national,IN,2017,christian,rural,5638,per_enrolled_student,5916,,,nss75-education,sources/nss75-education/PROVENANCE-note.md,canonicalize-school-edu-spend-v1.0.0-20260612T054155Z,"Computed from NSS 75th round Sch 25.2 (Household Social Consumption: Education, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-education/): average expenditure per student enrolled at school levels (pre-primary to higher secondary, incl. diploma/certificate up to higher-secondary equivalent) on the basic course during the current academic year, rural, weighted by the official multiplier (sub-sample-combined rule). Counts course fees, books, stationery and uniform, transport and other items; private coaching excluded to match the CMS:E 2025 headline construct. The estimator reproduces all 27 published anchor cells of NSS Report 585 Statements 19 and 21 (total basic-course expenditure by course type, and by school level for general-course students) within 0.01%; the report never splits expenditure by religion. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
school-edu-spend,national,IN,2017,christian,urban,15075,per_enrolled_student,2947,,,nss75-education,sources/nss75-education/PROVENANCE-note.md,canonicalize-school-edu-spend-v1.0.0-20260612T054155Z,"Computed from NSS 75th round Sch 25.2 (Household Social Consumption: Education, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-education/): average expenditure per student enrolled at school levels (pre-primary to higher secondary, incl. diploma/certificate up to higher-secondary equivalent) on the basic course during the current academic year, urban, weighted by the official multiplier (sub-sample-combined rule). Counts course fees, books, stationery and uniform, transport and other items; private coaching excluded to match the CMS:E 2025 headline construct. The estimator reproduces all 27 published anchor cells of NSS Report 585 Statements 19 and 21 (total basic-course expenditure by course type, and by school level for general-course students) within 0.01%; the report never splits expenditure by religion. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
school-edu-spend,national,IN,2017,sikh,all,15334,per_enrolled_student,2235,,,nss75-education,sources/nss75-education/PROVENANCE-note.md,canonicalize-school-edu-spend-v1.0.0-20260612T054155Z,"Computed from NSS 75th round Sch 25.2 (Household Social Consumption: Education, July 2017 - June 2018) unit-level microdata, MoSPI's original fixed-width TXT distribution (the NADA copy is a proprietary binary; provenance in sources/nss75-education/): average expenditure per student enrolled at school levels (pre-primary to higher secondary, incl. diploma/certificate up to higher-secondary equivalent) on the basic course during the current academic year, rural+urban, weighted by the official multiplier (sub-sample-combined rule). Counts course fees, books, stationery and uniform, transport and other items; private coaching excluded to match the CMS:E 2025 headline construct. The estimator reproduces all 27 published anchor cells of NSS Report 585 Statements 19 and 21 (total basic-course expenditure by course type, and by school level for general-course students) within 0.01%; the report never splits expenditure by religion. Values are nominal rupees of 2017-18. NSO unit-data rider: religion is self-reported and the survey is stratified for states, not religions, so the split is indicative and no sub-state estimates are made.",false
