metric_id,geography_level,geography_code,year,religion,residence,value,denominator,sample_size,ci_lower,ci_upper,source_id,source_document,extraction_run,methodology_note,break_flag
sex-ratio,national,IN,1961,muslim,all,934.7,females_per_1000_males_total_residence_all_ages,,,,census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Social and Cultural Tables Vol-XIII INDIA Table C-VII Religion (A. Mitra RGI, Census 1961), INDIA T row at PDF pp 501-502.",false
sex-ratio,national,IN,1961,hindu,all,941.8,females_per_1000_males_total_residence_all_ages,,,,census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Social and Cultural Tables Vol-XIII INDIA Table C-VII Religion (A. Mitra RGI, Census 1961), INDIA T row at PDF pp 501-502.",false
sex-ratio,national,IN,1961,christian,all,988.7,females_per_1000_males_total_residence_all_ages,,,,census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Social and Cultural Tables Vol-XIII INDIA Table C-VII Religion (A. Mitra RGI, Census 1961), INDIA T row at PDF pp 501-502.",false
sex-ratio,national,IN,1961,sikh,all,849.3,females_per_1000_males_total_residence_all_ages,,,,census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Social and Cultural Tables Vol-XIII INDIA Table C-VII Religion (A. Mitra RGI, Census 1961), INDIA T row at PDF pp 501-502.",false
sex-ratio,national,IN,1961,buddhist,all,981.2,females_per_1000_males_total_residence_all_ages,,,,census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Social and Cultural Tables Vol-XIII INDIA Table C-VII Religion (A. Mitra RGI, Census 1961), INDIA T row at PDF pp 501-502.",false
sex-ratio,national,IN,1961,jain,all,924.1,females_per_1000_males_total_residence_all_ages,,,,census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Social and Cultural Tables Vol-XIII INDIA Table C-VII Religion (A. Mitra RGI, Census 1961), INDIA T row at PDF pp 501-502.",false
sex-ratio,national,IN,1961,other,all,1021.6,females_per_1000_males_total_residence_all_ages,,,,census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Social and Cultural Tables Vol-XIII INDIA Table C-VII Religion (A. Mitra RGI, Census 1961), INDIA T row at PDF pp 501-502.",false
sex-ratio,national,IN,1961,all,all,941.0,females_per_1000_males_total_residence_all_ages,,,,census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Social and Cultural Tables Vol-XIII INDIA Table C-VII Religion (A. Mitra RGI, Census 1961), INDIA T row at PDF pp 501-502.",false
sex-ratio,national,IN,1971,muslim,all,921.6,females_per_1000_males_total_residence_all_ages,,,,census-india-1971,sources/census-1971/religion-paper-2-of-1972.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from the RGI 1972 Religion Paper Summary table (printed p.xiii / NADA PDF p17; Chandra Sekhar, RGI). Six named religions; the 'all-India' value here is the sum across the six named (matches RGI's published all-India 1971 sex ratio of 930).",false
sex-ratio,national,IN,1971,hindu,all,930.2,females_per_1000_males_total_residence_all_ages,,,,census-india-1971,sources/census-1971/religion-paper-2-of-1972.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from the RGI 1972 Religion Paper Summary table (printed p.xiii / NADA PDF p17; Chandra Sekhar, RGI). Six named religions; the 'all-India' value here is the sum across the six named (matches RGI's published all-India 1971 sex ratio of 930).",false
sex-ratio,national,IN,1971,christian,all,986.0,females_per_1000_males_total_residence_all_ages,,,,census-india-1971,sources/census-1971/religion-paper-2-of-1972.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from the RGI 1972 Religion Paper Summary table (printed p.xiii / NADA PDF p17; Chandra Sekhar, RGI). Six named religions; the 'all-India' value here is the sum across the six named (matches RGI's published all-India 1971 sex ratio of 930).",false
sex-ratio,national,IN,1971,sikh,all,858.7,females_per_1000_males_total_residence_all_ages,,,,census-india-1971,sources/census-1971/religion-paper-2-of-1972.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from the RGI 1972 Religion Paper Summary table (printed p.xiii / NADA PDF p17; Chandra Sekhar, RGI). Six named religions; the 'all-India' value here is the sum across the six named (matches RGI's published all-India 1971 sex ratio of 930).",false
sex-ratio,national,IN,1971,buddhist,all,962.3,females_per_1000_males_total_residence_all_ages,,,,census-india-1971,sources/census-1971/religion-paper-2-of-1972.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from the RGI 1972 Religion Paper Summary table (printed p.xiii / NADA PDF p17; Chandra Sekhar, RGI). Six named religions; the 'all-India' value here is the sum across the six named (matches RGI's published all-India 1971 sex ratio of 930).",false
sex-ratio,national,IN,1971,jain,all,939.6,females_per_1000_males_total_residence_all_ages,,,,census-india-1971,sources/census-1971/religion-paper-2-of-1972.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from the RGI 1972 Religion Paper Summary table (printed p.xiii / NADA PDF p17; Chandra Sekhar, RGI). Six named religions; the 'all-India' value here is the sum across the six named (matches RGI's published all-India 1971 sex ratio of 930).",false
sex-ratio,national,IN,1971,all,all,929.5,females_per_1000_males_total_residence_all_ages,,,,census-india-1971,sources/census-1971/religion-paper-2-of-1972.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from the RGI 1972 Religion Paper Summary table (printed p.xiii / NADA PDF p17; Chandra Sekhar, RGI). Six named religions; the 'all-India' value here is the sum across the six named (matches RGI's published all-India 1971 sex ratio of 930).",false
sex-ratio,national,IN,1981,muslim,all,936.7,females_per_1000_males_total_residence_all_ages,,,,census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Paper 3 of 1984 (V.S. Verma RGI), Table HH-15 Household Population by Religion of Head of Household, INDIA T row spanning PDF pp 23-26. Excludes Assam (Census not held there in 1981).",false
sex-ratio,national,IN,1981,hindu,all,933.2,females_per_1000_males_total_residence_all_ages,,,,census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Paper 3 of 1984 (V.S. Verma RGI), Table HH-15 Household Population by Religion of Head of Household, INDIA T row spanning PDF pp 23-26. Excludes Assam (Census not held there in 1981).",false
sex-ratio,national,IN,1981,christian,all,992.4,females_per_1000_males_total_residence_all_ages,,,,census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Paper 3 of 1984 (V.S. Verma RGI), Table HH-15 Household Population by Religion of Head of Household, INDIA T row spanning PDF pp 23-26. Excludes Assam (Census not held there in 1981).",false
sex-ratio,national,IN,1981,sikh,all,879.6,females_per_1000_males_total_residence_all_ages,,,,census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Paper 3 of 1984 (V.S. Verma RGI), Table HH-15 Household Population by Religion of Head of Household, INDIA T row spanning PDF pp 23-26. Excludes Assam (Census not held there in 1981).",false
sex-ratio,national,IN,1981,buddhist,all,952.9,females_per_1000_males_total_residence_all_ages,,,,census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Paper 3 of 1984 (V.S. Verma RGI), Table HH-15 Household Population by Religion of Head of Household, INDIA T row spanning PDF pp 23-26. Excludes Assam (Census not held there in 1981).",false
sex-ratio,national,IN,1981,jain,all,941.5,females_per_1000_males_total_residence_all_ages,,,,census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Paper 3 of 1984 (V.S. Verma RGI), Table HH-15 Household Population by Religion of Head of Household, INDIA T row spanning PDF pp 23-26. Excludes Assam (Census not held there in 1981).",false
sex-ratio,national,IN,1981,other,all,1010.2,females_per_1000_males_total_residence_all_ages,,,,census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Paper 3 of 1984 (V.S. Verma RGI), Table HH-15 Household Population by Religion of Head of Household, INDIA T row spanning PDF pp 23-26. Excludes Assam (Census not held there in 1981).",false
sex-ratio,national,IN,1981,all,all,934.4,females_per_1000_males_total_residence_all_ages,,,,census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 from RGI Paper 3 of 1984 (V.S. Verma RGI), Table HH-15 Household Population by Religion of Head of Household, INDIA T row spanning PDF pp 23-26. Excludes Assam (Census not held there in 1981).",false
sex-ratio,national,IN,1991,muslim,all,930.3,females_per_1000_males_total_residence_all_ages,,,,census-india-1991,sources/census-1991/c09-religion.xlsx,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence from RGI 1991 C-9 Religion table (XLSX, NADA catalog 35737). India figure excludes J&K (Census not held in 1991).",false
sex-ratio,national,IN,1991,hindu,all,924.8,females_per_1000_males_total_residence_all_ages,,,,census-india-1991,sources/census-1991/c09-religion.xlsx,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence from RGI 1991 C-9 Religion table (XLSX, NADA catalog 35737). India figure excludes J&K (Census not held in 1991).",false
sex-ratio,national,IN,1991,christian,all,994.2,females_per_1000_males_total_residence_all_ages,,,,census-india-1991,sources/census-1991/c09-religion.xlsx,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence from RGI 1991 C-9 Religion table (XLSX, NADA catalog 35737). India figure excludes J&K (Census not held in 1991).",false
sex-ratio,national,IN,1991,sikh,all,888.4,females_per_1000_males_total_residence_all_ages,,,,census-india-1991,sources/census-1991/c09-religion.xlsx,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence from RGI 1991 C-9 Religion table (XLSX, NADA catalog 35737). India figure excludes J&K (Census not held in 1991).",false
sex-ratio,national,IN,1991,buddhist,all,952.1,females_per_1000_males_total_residence_all_ages,,,,census-india-1991,sources/census-1991/c09-religion.xlsx,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence from RGI 1991 C-9 Religion table (XLSX, NADA catalog 35737). India figure excludes J&K (Census not held in 1991).",false
sex-ratio,national,IN,1991,jain,all,946.2,females_per_1000_males_total_residence_all_ages,,,,census-india-1991,sources/census-1991/c09-religion.xlsx,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence from RGI 1991 C-9 Religion table (XLSX, NADA catalog 35737). India figure excludes J&K (Census not held in 1991).",false
sex-ratio,national,IN,1991,other,all,982.2,females_per_1000_males_total_residence_all_ages,,,,census-india-1991,sources/census-1991/c09-religion.xlsx,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence from RGI 1991 C-9 Religion table (XLSX, NADA catalog 35737). India figure excludes J&K (Census not held in 1991).",false
sex-ratio,national,IN,1991,all,all,926.8,females_per_1000_males_total_residence_all_ages,,,,census-india-1991,sources/census-1991/c09-religion.xlsx,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence from RGI 1991 C-9 Religion table (XLSX, NADA catalog 35737). India figure excludes J&K (Census not held in 1991).",false
sex-ratio,national,IN,2001,muslim,all,936.1,females_per_1000_males_total_residence_all_ages,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence (all ages, from C-1 population-by-religion). Same all-ages total-residence definition as the 2011 C-15 figure (verified table-invariant: 2011 C-01 reproduces C-15).",false
sex-ratio,national,IN,2001,hindu,all,930.5,females_per_1000_males_total_residence_all_ages,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence (all ages, from C-1 population-by-religion). Same all-ages total-residence definition as the 2011 C-15 figure (verified table-invariant: 2011 C-01 reproduces C-15).",false
sex-ratio,national,IN,2001,christian,all,1009.2,females_per_1000_males_total_residence_all_ages,,,,census-india-2001,sources/census-2001/c-series/c01-population-by-religion.xls,canonicalize-sex-ratio-v5.0.1-20260613T191117Z,"Females / Males * 1000 at total residence (all ages, from C-1 population-by-religion). Same all-ages total-residence definition as the 2011 C-15 figure (verified table-invariant: 2011 C-01 reproduces C-15).",false
