religion,residence,avg_assets_rs,avg_debt_rs,avg_net_worth_rs,ioi_pct,institutional_debt_share_pct,n_households
muslim,all,1557638,56894,1500744,26.75,68.70,13520
muslim,rural,1350475,47266,1303209,29.00,66.12,6753
muslim,urban,1871209,71468,1799741,23.34,71.29,6767
hindu,all,1964149,81477,1882672,31.39,77.09,91306
hindu,rural,1564343,59894,1504450,35.95,65.58,55444
hindu,urban,2791627,126150,2665477,21.94,88.40,35862
christian,all,2189160,114271,2074889,34.05,76.27,7119
christian,rural,1692604,93404,1599200,36.67,68.08,4423
christian,urban,2971001,147127,2823874,29.92,84.46,2696
sikh,all,4777457,121221,4656236,33.38,82.68,2076
sikh,rural,4606666,104987,4501679,37.19,75.97,1354
sikh,urban,5172299,158751,5013549,24.58,92.93,722
all,all,1971349,80164,1891185,30.78,76.70,116461
all,rural,1592379,59748,1532631,35.04,66.08,69455
all,urban,2717081,120336,2596745,22.41,87.07,47006
