source_id,source_document,source_sha256_prefix,extraction_run,page,serial,state_name,pwd_male,pwd_female,pwd_total,muslim_male,muslim_female,muslim_total,other_minority_male,other_minority_female,other_minority_total,ews_male,ews_female,ews_total
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,1,Andaman and Nicobar Islands,27,39,66,239,370,609,402,743,1145,49,63,112
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,2,Andhra Pradesh,1361,1167,2528,32718,23726,56444,4241,4420,8661,20391,19050,39441
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,3,Arunachal Pradesh,24,28,52,65,42,107,2470,1673,4143,221,124,345
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,4,Assam,429,232,661,44047,40761,84808,5841,5894,11735,12932,14272,27204
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,5,Bihar,2732,1289,4021,93896,78785,172681,3879,4058,7937,24859,18422,43281
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,6,Chandigarh,287,151,438,321,371,692,1726,2842,4568,1178,1737,2915
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,7,Chhattisgarh,799,411,1210,2348,2765,5113,2911,4418,7329,2144,2520,4664
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,8,Delhi,4073,2328,6401,15489,12793,28282,5033,5155,10188,19811,13540,33351
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,9,Goa,460,144,604,1531,1553,3084,4446,5734,10180,475,405,880
aishe,sources/aishe/aishe-report-2021-22.pdf,c4400273cb2d574c,aishe-table15-extract-v1.1.0-20260527T220345Z,140,10,Gujarat,2885,2156,5041,19387,16606,35993,6945,7190,14135,35817,24763,60580
