source_id,source_document,source_sha256_prefix,extraction_run,table_name,area_name,area_level,residence,religion,sex,value
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,all,persons,439234771
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,all,males,226293201
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,all,females,212941570
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,hindu,persons,366531846
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,hindu,males,188755134
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,hindu,females,177776712
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,muslim,persons,46940799
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,muslim,males,24262926
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,muslim,females,22677873
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,christian,persons,10728586
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,christian,males,5394783
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,christian,females,5333803
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,sikh,persons,7845915
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,sikh,males,4242565
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,sikh,females,3603350
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,buddhist,persons,3256036
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,buddhist,males,1643476
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,buddhist,females,1612560
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,jain,persons,2027381
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,jain,males,1053665
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,jain,females,973716
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,other,persons,1498895
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,other,males,741436
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,other,females,757459
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,not_stated,persons,113040
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,not_stated,males,57216
census-india-1961,sources/census-1961/social-cultural-tables-c07-religion.pdf,30179b02a44bdd62,census1961-c07-extract-v1.0.0-20260531T020712Z,C-VII,India,national,total,not_stated,females,55824
