source_id,source_document,source_sha256_prefix,extraction_run,table_name,area_name,area_level,residence,religion,sex,value
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,all,persons,665287849
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,all,males,343930423
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,all,females,321357426
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,hindu,persons,549779481
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,hindu,males,284392942
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,total,hindu,females,265386539
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,all,persons,507607678
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,all,males,260054020
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,all,females,247553658
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,hindu,persons,429116124
census-india-1981,sources/census-1981/paper-3-of-1984-hh15-religion.pdf,64fc02ea663d8e3b,census1981-hh15-extract-v1.0.0-20260531T020355Z,HH-15,India (excl Assam),national,rural,hindu,males,219897812
