source_id,source_document,source_sha256_prefix,extraction_run,table_name,state_code,distt_code,tehsil_code,town_code,area_name,residence,religion,sex,value
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,all,persons,25351462
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,all,males,13494734
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,all,females,11856728
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,hindu,persons,22171128
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,hindu,males,11821082
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,hindu,females,10350046
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,muslim,persons,1781342
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,muslim,males,940027
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,muslim,females,841315
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,christian,persons,50353
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,christian,males,26165
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,christian,females,24188
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,sikh,persons,1243752
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,sikh,males,653468
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,sikh,females,590284
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,buddhist,persons,7514
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,buddhist,males,4099
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,buddhist,females,3415
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,jain,persons,52613
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,jain,males,27358
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,jain,females,25255
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,other,persons,2548
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,other,males,1111
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,other,females,1437
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,not_stated,persons,42212
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,not_stated,males,21424
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,total,not_stated,females,20788
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,all,persons,16509359
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,all,males,8774006
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,all,females,7735353
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,hindu,persons,14128537
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,hindu,males,7524114
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,hindu,females,6604423
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,muslim,persons,1424576
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,muslim,males,747559
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,muslim,females,677017
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,christian,persons,17367
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,christian,males,9235
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,christian,females,8132
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,sikh,persons,912937
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,sikh,males,479305
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,sikh,females,433632
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,buddhist,persons,2844
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,buddhist,males,1562
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,buddhist,females,1282
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,jain,persons,3515
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,jain,males,1871
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,jain,females,1644
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,other,persons,1013
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,other,males,504
census-india-2011,sources/census-2011/c-series/state-mdds/c01-06-haryana.xls,caf5d28a6b066874,census-c01-extract-v1.1.0-20260528T003616Z,C0101,06,000,00000,000000,State - HARYANA,rural,other,females,509
