source_id,source_document,source_sha256_prefix,extraction_run,table_name,state_code,distt_code,area_name,residence,age_group,religion,sex,value
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,all,persons,1210854977
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,all,males,623270258
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,all,females,587584719
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,hindu,persons,966257353
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,hindu,males,498306968
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,hindu,females,467950385
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,muslim,persons,172245158
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,muslim,males,88273945
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,muslim,females,83971213
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,christian,persons,27819588
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,christian,males,13751031
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,christian,females,14068557
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,sikh,persons,20833116
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,sikh,males,10948431
census-india-2011,sources/census-2011/c-series/c15-religion-by-age-sex.xlsx,ad1d2aa830ee6841,census-c15-extract-v1.0.0-20260527T180134Z,C2015,00,000,INDIA,total,All ages,sikh,females,9884685
