religion,sex,residence,gar_pct,n_attending,n_pop_18_23
muslim,person,all,14.50,2896,10478
muslim,person,rural,10.64,1068,5099
muslim,person,urban,20.58,1828,5379
muslim,male,all,16.82,1738,5816
muslim,male,rural,13.02,651,2771
muslim,male,urban,22.41,1087,3045
muslim,female,all,12.12,1158,4662
muslim,female,rural,8.35,417,2328
muslim,female,urban,18.54,741,2334
hindu,person,all,24.17,21048,54593
hindu,person,rural,19.45,8914,30797
hindu,person,urban,36.17,12134,23796
hindu,male,all,26.09,11849,31261
hindu,male,rural,21.81,5182,17730
hindu,male,urban,37.29,6667,13531
hindu,female,all,21.99,9198,23329
hindu,female,rural,16.73,3732,13066
hindu,female,urban,34.94,5466,10263
christian,person,all,28.29,1479,4414
christian,person,rural,18.98,616,2570
christian,person,urban,45.58,863,1844
christian,male,all,24.57,753,2296
christian,male,rural,20.19,335,1355
christian,male,urban,32.63,418,941
christian,female,all,32.15,726,2118
christian,female,rural,17.73,281,1215
christian,female,urban,59.16,445,903
sikh,person,all,24.10,714,1796
sikh,person,rural,22.24,377,1181
sikh,person,urban,30.51,337,615
sikh,male,all,21.59,357,1062
sikh,male,rural,20.67,176,686
sikh,male,urban,24.73,181,376
sikh,female,all,27.68,357,734
sikh,female,rural,24.47,201,495
sikh,female,urban,39.00,156,239
jain,person,all,60.95,120,184
jain,person,rural,53.72,11,32
jain,person,urban,63.78,109,152
jain,male,all,57.64,55,96
jain,male,rural,62.86,5,17
jain,male,urban,55.71,50,79
jain,female,all,64.30,65,88
jain,female,rural,45.18,6,15
jain,female,urban,72.22,59,73
buddhist,person,all,22.44,172,689
buddhist,person,rural,16.73,87,491
buddhist,person,urban,39.61,85,198
buddhist,male,all,29.27,103,390
buddhist,male,rural,25.95,52,264
buddhist,male,urban,35.94,51,126
buddhist,female,all,13.84,69,299
buddhist,female,rural,7.65,35,227
buddhist,female,urban,50.19,34,72
all,person,all,22.82,26625,72804
all,person,rural,18.32,11167,40580
all,person,urban,33.35,15458,32224
all,male,all,24.70,14963,41275
all,male,rural,20.73,6449,23043
all,male,urban,34.11,8514,18232
all,female,all,20.71,11661,31526
all,female,rural,15.61,4718,17536
all,female,urban,32.50,6943,13990
