round,year,religion,residence,sex,n_15plus,lfpr,wpr,ur,salaried_share
2004-05,2004,all,all,all,407121,63.67,62.21,2.29,14.39
2004-05,2004,all,all,female,201174,42.74,41.63,2.59,8.45
2004-05,2004,all,all,male,205946,84.04,82.24,2.14,17.31
2004-05,2004,all,rural,all,263482,67.71,66.59,1.66,7.13
2004-05,2004,all,rural,female,130869,49.39,48.49,1.81,3.76
2004-05,2004,all,rural,male,132613,85.94,84.59,1.57,9.05
2004-05,2004,all,urban,all,143639,52.95,50.60,4.45,39.68
2004-05,2004,all,urban,female,70305,24.42,22.73,6.94,36.00
2004-05,2004,all,urban,male,73333,79.21,76.26,3.74,40.69
2004-05,2004,buddhist,all,all,4286,68.67,66.35,3.38,16.45
2004-05,2004,buddhist,all,female,2132,58.25,57.75,0.85,10.78
2004-05,2004,buddhist,all,male,2154,79.13,74.98,5.25,20.83
2004-05,2004,buddhist,rural,all,3164,75.90,74.63,1.66,7.77
2004-05,2004,buddhist,rural,female,1563,69.68,69.44,0.34,4.33
2004-05,2004,buddhist,rural,male,1601,82.28,79.97,2.81,10.84
2004-05,2004,buddhist,urban,all,1122,54.20,49.76,8.19,42.51
2004-05,2004,buddhist,urban,female,569,34.55,33.53,2.95,38.50
2004-05,2004,buddhist,urban,male,553,73.05,65.33,10.56,44.49
2004-05,2004,christian,all,all,27781,63.82,60.38,5.39,23.14
2004-05,2004,christian,all,female,13915,48.09,44.01,8.48,22.89
2004-05,2004,christian,all,male,13866,80.14,77.36,3.46,23.29
2004-05,2004,christian,rural,all,18759,67.76,64.86,4.27,13.25
2004-05,2004,christian,rural,female,9307,52.64,49.08,6.76,11.97
2004-05,2004,christian,rural,male,9452,83.60,81.41,2.62,14.06
2004-05,2004,christian,urban,all,9022,54.87,50.19,8.53,52.18
2004-05,2004,christian,urban,female,4608,37.57,32.29,14.05,61.23
2004-05,2004,christian,urban,male,4414,72.40,68.33,5.62,47.85
2004-05,2004,hindu,all,all,306694,64.84,63.48,2.10,14.28
2004-05,2004,hindu,all,female,151355,44.93,43.91,2.26,8.12
2004-05,2004,hindu,all,male,155338,84.14,82.45,2.01,17.46
2004-05,2004,hindu,rural,all,200000,68.94,67.92,1.48,6.99
2004-05,2004,hindu,rural,female,99375,51.63,50.84,1.52,3.61
2004-05,2004,hindu,rural,male,100625,86.06,84.81,1.46,9.00
2004-05,2004,hindu,urban,all,106694,53.27,50.95,4.36,41.72
2004-05,2004,hindu,urban,female,51980,25.23,23.53,6.72,36.82
2004-05,2004,hindu,urban,male,54713,78.93,76.03,3.67,43.11
2004-05,2004,jain,all,all,1381,51.79,51.08,1.36,20.79
2004-05,2004,jain,all,female,657,16.47,16.08,2.36,16.99
2004-05,2004,jain,all,male,724,83.95,82.96,1.18,21.46
2004-05,2004,jain,rural,all,287,63.12,63.12,0.00,9.14
2004-05,2004,jain,rural,female,132,37.03,37.03,0.00,12.88
2004-05,2004,jain,rural,male,155,85.70,85.70,0.00,7.75
2004-05,2004,jain,urban,all,1094,49.34,48.49,1.74,24.05
2004-05,2004,jain,urban,female,525,12.18,11.71,3.86,19.70
2004-05,2004,jain,urban,male,569,83.56,82.35,1.45,24.62
2004-05,2004,muslim,all,all,50804,55.14,53.56,2.87,12.81
2004-05,2004,muslim,all,female,25184,25.37,24.28,4.29,6.83
2004-05,2004,muslim,all,male,25620,84.65,82.58,2.45,14.55
2004-05,2004,muslim,rural,all,28956,57.05,55.71,2.34,6.23
2004-05,2004,muslim,rural,female,14441,28.97,27.91,3.67,2.88
2004-05,2004,muslim,rural,male,14515,85.81,84.19,1.89,7.37
2004-05,2004,muslim,urban,all,21848,51.55,49.51,3.96,26.72
2004-05,2004,muslim,urban,female,10743,18.27,17.13,6.24,19.55
2004-05,2004,muslim,urban,male,11105,82.57,79.69,3.49,28.16
2004-05,2004,other,all,all,4710,72.06,70.45,2.23,8.35
2004-05,2004,other,all,female,2344,57.96,57.53,0.73,4.01
2004-05,2004,other,all,male,2366,86.93,84.07,3.28,11.48
2004-05,2004,other,rural,all,3700,78.17,77.73,0.56,3.97
2004-05,2004,other,rural,female,1834,65.95,65.79,0.25,1.53
2004-05,2004,other,rural,male,1866,91.55,90.81,0.81,5.91
2004-05,2004,other,urban,all,1010,49.62,43.74,11.85,36.89
2004-05,2004,other,urban,female,510,25.89,24.44,5.60,30.67
2004-05,2004,other,urban,male,500,71.39,61.44,13.93,39.16
2004-05,2004,sikh,all,all,11465,63.62,61.39,3.51,16.24
2004-05,2004,sikh,all,female,5587,44.46,42.58,4.23,8.69
2004-05,2004,sikh,all,male,5878,82.15,79.58,3.13,20.14
2004-05,2004,sikh,rural,all,8616,67.70,65.47,3.29,10.44
2004-05,2004,sikh,rural,female,4217,50.86,49.01,3.65,3.59
2004-05,2004,sikh,rural,male,4399,84.26,81.67,3.07,14.48
2004-05,2004,sikh,urban,all,2849,49.58,47.34,4.53,43.77
2004-05,2004,sikh,urban,female,1370,21.63,19.68,9.04,53.98
2004-05,2004,sikh,urban,male,1479,75.17,72.66,3.34,41.24
2009-10,2009,all,all,all,325436,57.05,55.90,2.03,15.69
2009-10,2009,all,all,female,160337,32.59,31.85,2.29,10.21
2009-10,2009,all,all,male,165099,80.63,79.07,1.93,17.82
2009-10,2009,all,rural,all,194946,60.42,59.46,1.59,7.31
2009-10,2009,all,rural,female,96550,37.84,37.24,1.58,4.45
2009-10,2009,all,rural,male,98396,82.50,81.19,1.59,8.60
2009-10,2009,all,urban,all,130490,48.84,47.19,3.37,41.51
2009-10,2009,all,urban,female,63787,19.43,18.31,5.73,39.60
2009-10,2009,all,urban,male,66703,76.17,74.03,2.81,41.94
2009-10,2009,buddhist,all,all,3376,58.17,57.24,1.61,27.20
2009-10,2009,buddhist,all,female,1635,38.98,38.59,1.00,17.90
2009-10,2009,buddhist,all,male,1741,77.85,76.35,1.93,32.02
2009-10,2009,buddhist,rural,all,2253,61.92,61.28,1.02,12.37
2009-10,2009,buddhist,rural,female,1073,43.92,43.50,0.95,6.15
2009-10,2009,buddhist,rural,male,1180,80.41,79.56,1.06,15.86
2009-10,2009,buddhist,urban,all,1123,53.17,51.82,2.53,50.67
2009-10,2009,buddhist,urban,female,562,32.35,31.99,1.09,39.36
2009-10,2009,buddhist,urban,male,561,74.43,72.08,3.17,55.80
2009-10,2009,christian,all,all,22564,58.64,56.53,3.61,24.91
2009-10,2009,christian,all,female,11360,40.64,38.34,5.67,23.35
2009-10,2009,christian,all,male,11204,77.71,75.79,2.47,25.74
2009-10,2009,christian,rural,all,14393,62.33,59.92,3.87,14.82
2009-10,2009,christian,rural,female,7165,46.04,43.28,6.00,11.40
2009-10,2009,christian,rural,male,7228,79.61,77.56,2.57,16.84
2009-10,2009,christian,urban,all,8171,51.09,49.59,2.95,49.85
2009-10,2009,christian,urban,female,4195,29.57,28.21,4.60,60.92
2009-10,2009,christian,urban,male,3976,73.83,72.17,2.25,45.27
2009-10,2009,hindu,all,all,244839,57.96,56.84,1.94,15.50
2009-10,2009,hindu,all,female,120480,34.32,33.60,2.10,9.71
2009-10,2009,hindu,all,male,124359,80.71,79.20,1.87,17.86
2009-10,2009,hindu,rural,all,148872,61.41,60.50,1.48,7.03
2009-10,2009,hindu,rural,female,73800,39.74,39.18,1.41,4.18
2009-10,2009,hindu,rural,male,75072,82.59,81.34,1.51,8.38
2009-10,2009,hindu,urban,all,95967,49.03,47.36,3.42,43.51
2009-10,2009,hindu,urban,female,46680,19.84,18.70,5.75,40.63
2009-10,2009,hindu,urban,male,49287,75.96,73.79,2.86,44.18
2009-10,2009,jain,all,all,1030,44.69,44.69,0.00,30.91
2009-10,2009,jain,all,female,514,8.63,8.63,0.00,49.56
2009-10,2009,jain,all,male,516,79.84,79.84,0.00,28.94
2009-10,2009,jain,rural,all,167,41.19,41.19,0.00,14.87
2009-10,2009,jain,rural,female,88,4.84,4.84,0.00,48.38
2009-10,2009,jain,rural,male,79,87.58,87.58,0.00,12.51
2009-10,2009,jain,urban,all,863,45.17,45.17,0.00,32.92
2009-10,2009,jain,urban,female,426,9.23,9.23,0.00,49.66
2009-10,2009,jain,urban,male,437,78.93,78.93,0.00,31.08
2009-10,2009,muslim,all,all,42336,50.88,49.71,2.31,14.16
2009-10,2009,muslim,all,female,20820,18.94,18.30,3.40,8.64
2009-10,2009,muslim,all,male,21516,81.46,79.77,2.07,15.37
2009-10,2009,muslim,rural,all,21842,52.77,51.77,1.90,7.21
2009-10,2009,muslim,rural,female,10794,21.34,20.88,2.14,4.04
2009-10,2009,muslim,rural,male,11048,83.24,81.70,1.85,7.99
2009-10,2009,muslim,urban,all,20494,47.39,45.90,3.14,28.63
2009-10,2009,muslim,urban,female,10026,14.44,13.44,6.90,22.05
2009-10,2009,muslim,urban,male,10468,78.22,76.28,2.49,29.71
2009-10,2009,other,all,all,3449,60.90,59.83,1.75,12.75
2009-10,2009,other,all,female,1683,41.37,41.30,0.17,16.06
2009-10,2009,other,all,male,1766,78.12,76.18,2.48,11.16
2009-10,2009,other,rural,all,2274,66.26,65.22,1.57,5.39
2009-10,2009,other,rural,female,1095,45.32,45.30,0.04,4.98
2009-10,2009,other,rural,male,1179,83.54,81.66,2.26,5.58
2009-10,2009,other,urban,all,1175,43.43,42.29,2.63,49.68
2009-10,2009,other,urban,female,588,30.23,30.02,0.70,63.20
2009-10,2009,other,urban,male,587,57.87,55.72,3.72,41.72
2009-10,2009,sikh,all,all,7782,54.30,52.58,3.17,16.13
2009-10,2009,sikh,all,female,3817,31.20,30.33,2.80,12.48
2009-10,2009,sikh,all,male,3965,76.82,74.27,3.31,17.58
2009-10,2009,sikh,rural,all,5111,56.29,54.93,2.41,10.83
2009-10,2009,sikh,rural,female,2518,34.66,34.06,1.73,8.08
2009-10,2009,sikh,rural,male,2593,77.62,75.52,2.70,12.06
2009-10,2009,sikh,urban,all,2671,48.30,45.47,5.85,35.42
2009-10,2009,sikh,urban,female,1299,20.51,18.79,8.41,37.09
2009-10,2009,sikh,urban,male,1372,74.46,70.60,5.19,35.00
2011-12,2011,all,all,all,326809,55.87,54.67,2.14,17.92
2011-12,2011,all,all,female,161867,31.24,30.51,2.33,12.81
2011-12,2011,all,all,male,164942,79.80,78.15,2.07,19.86
2011-12,2011,all,rural,all,197161,58.74,57.76,1.67,8.74
2011-12,2011,all,rural,female,98121,35.82,35.24,1.62,5.68
2011-12,2011,all,rural,male,99040,81.33,79.96,1.69,10.07
2011-12,2011,all,urban,all,129648,49.30,47.60,3.44,43.37
2011-12,2011,all,urban,female,63746,20.54,19.46,5.26,43.00
2011-12,2011,all,urban,male,65902,76.38,74.11,2.98,43.47
2011-12,2011,buddhist,all,all,3300,60.96,59.65,2.15,26.29
2011-12,2011,buddhist,all,female,1645,44.44,44.05,0.87,15.65
2011-12,2011,buddhist,all,male,1655,75.71,73.57,2.83,31.98
2011-12,2011,buddhist,rural,all,2303,66.42,65.84,0.88,8.59
2011-12,2011,buddhist,rural,female,1139,56.04,55.91,0.23,4.62
2011-12,2011,buddhist,rural,male,1164,75.28,74.30,1.30,11.15
2011-12,2011,buddhist,urban,all,997,52.28,49.82,4.72,63.43
2011-12,2011,buddhist,urban,female,506,27.12,26.35,2.84,50.59
2011-12,2011,buddhist,urban,male,491,76.44,72.35,5.36,67.92
2011-12,2011,christian,all,all,22428,57.61,54.75,4.97,28.67
2011-12,2011,christian,all,female,11396,38.80,36.00,7.21,30.72
2011-12,2011,christian,all,male,11032,77.91,74.98,3.76,27.60
2011-12,2011,christian,rural,all,13986,60.17,57.47,4.49,15.38
