scope,state_code,religion,residence,mpce_rs,n_households
national,,muslim,all,4454.53,31468
national,,muslim,urban,5466.54,14954
national,,muslim,rural,3874.22,16514
national,,hindu,all,4973.99,203216
national,,hindu,urban,7064.23,81733
national,,hindu,rural,4135.37,121483
national,,all,all,4958.20,261953
national,,all,urban,6863.11,107596
national,,all,rural,4149.41,154357
state,01,muslim,all,4871.35,2522
state,01,muslim,urban,5849.73,1293
state,01,muslim,rural,4624.75,1229
state,01,hindu,all,5881.74,984
state,01,hindu,urban,7964.44,463
state,01,hindu,rural,5263.52,521
state,01,all,all,5159.27,3582
state,01,all,urban,6490.25,1800
state,01,all,rural,4801.96,1782
state,02,muslim,all,5980.44,46
state,02,muslim,urban,7115.43,29
state,02,muslim,rural,5763.34,17
state,02,hindu,all,6219.73,2295
state,02,hindu,urban,9056.55,980
state,02,hindu,rural,5911.92,1315
state,02,all,all,6241.64,2406
state,02,all,urban,9070.67,1051
state,02,all,rural,5924.12,1355
state,03,muslim,all,5797.78,147
state,03,muslim,urban,6460.79,82
state,03,muslim,rural,5143.62,65
state,03,hindu,all,6642.95,2592
state,03,hindu,urban,7333.34,1769
state,03,hindu,rural,5574.32,823
state,03,all,all,6473.08,5971
state,03,all,urban,7398.91,2810
state,03,all,rural,5893.06,3161
state,04,muslim,all,7951.37,26
state,04,muslim,urban,7985.74,9
state,04,muslim,rural,7440.94,17
state,04,hindu,all,11815.20,610
state,04,hindu,urban,11991.29,312
state,04,hindu,rural,8019.26,298
state,04,all,all,11954.03,718
state,04,all,urban,12132.41,359
state,04,all,rural,8361.41,359
state,05,muslim,all,4935.02,208
state,05,muslim,urban,5384.45,150
state,05,muslim,rural,4533.75,58
state,05,hindu,all,5783.86,2418
state,05,hindu,urban,7844.57,880
state,05,hindu,rural,5090.08,1538
state,05,all,all,5767.17,2749
state,05,all,urban,7518.83,1056
state,05,all,rural,5142.82,1693
state,06,muslim,all,5798.34,229
state,06,muslim,urban,6242.71,69
state,06,muslim,rural,5658.74,160
state,06,hindu,all,6269.24,4812
state,06,hindu,urban,7983.77,2305
state,06,hindu,rural,5222.08,2507
state,06,all,all,6272.85,5263
state,06,all,urban,7932.46,2478
state,06,all,rural,5292.63,2785
state,07,muslim,all,6570.56,421
state,07,muslim,urban,6585.68,393
state,07,muslim,rural,5569.22,28
state,07,hindu,all,8185.83,2812
state,07,hindu,urban,8213.80,2533
state,07,hindu,rural,7207.10,279
state,07,all,all,8113.78,3359
state,07,all,urban,8141.06,3049
state,07,all,rural,7070.45,310
state,08,muslim,all,4677.31,1104
state,08,muslim,urban,4954.55,593
state,08,muslim,rural,4487.82,511
state,08,hindu,all,5164.82,11778
state,08,hindu,urban,7040.10,3643
state,08,hindu,rural,4599.43,8135
state,08,all,all,5144.31,13147
state,08,all,urban,6776.73,4378
state,08,all,rural,4600.00,8769
state,09,muslim,all,3846.14,5316
state,09,muslim,urban,4417.48,2692
state,09,muslim,rural,3526.45,2624
state,09,hindu,all,3996.97,24868
state,09,hindu,urban,5975.18,7859
state,09,hindu,rural,3570.59,17009
state,09,all,all,3976.52,30308
state,09,all,urban,5523.30,10644
