religion,residence,q1_share,q2_share,q3_share,q4_share,q5_share,n_households
muslim,all,20.5,24.0,22.7,19.1,13.7,31468
muslim,rural,27.2,28.6,23.1,14.6,6.5,16514
muslim,urban,8.8,16.0,21.9,27.0,26.3,14954
hindu,all,20.3,19.9,19.8,19.9,20.2,203216
hindu,rural,26.4,24.2,21.7,17.6,10.1,121483
hindu,urban,5.0,9.1,15.2,25.4,45.3,81733
christian,all,19.8,13.7,15.4,21.2,30.0,17404
christian,rural,27.6,16.9,17.8,19.8,17.9,10571
christian,urban,2.0,6.3,9.9,24.4,57.4,6833
sikh,all,1.7,7.5,16.4,33.8,40.6,4028
sikh,rural,2.1,9.4,18.5,35.7,34.4,2639
sikh,urban,0.7,2.0,10.5,28.3,58.5,1389
all,all,20.0,20.0,20.0,20.0,20.0,261953
all,rural,26.2,24.2,21.7,17.6,10.3,154357
all,urban,5.4,10.0,16.1,25.6,42.9,107596
