source_id,source_document,source_sha256_prefix,extraction_run,row_type,year,geography,communal_incidents,page,report_year
ncrb-crime,sources/ncrb-crime/cii-2017-table-1-2.pdf,8649a65bb843cb73,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,national_year,2015,ALL INDIA,789,2,2017
ncrb-crime,sources/ncrb-crime/cii-2017-table-1-2.pdf,8649a65bb843cb73,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,national_year,2016,ALL INDIA,869,2,2017
ncrb-crime,sources/ncrb-crime/cii-2017-table-1-2.pdf,8649a65bb843cb73,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,national_year,2017,ALL INDIA,723,2,2017
ncrb-crime,sources/ncrb-crime/cii-2021-table-1-2.pdf,3fb3baeb8525dfae,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,national_year,2019,ALL INDIA,438,2,2021
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,national_year,2020,ALL INDIA,857,35,2022
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,national_year,2021,ALL INDIA,378,35,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,national_year,2022,ALL INDIA,272,35,2023
ncrb-crime,sources/ncrb-crime/cii-2023-part1.pdf,553ac8b2eadfe9e2,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,national_year,2023,ALL INDIA,272,35,2023
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Andhra Pradesh,9,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Arunachal Pradesh,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Assam,2,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Bihar,60,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Chhattisgarh,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Goa,1,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Gujarat,9,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Haryana,4,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Himachal Pradesh,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Jharkhand,46,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Karnataka,19,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Kerala,1,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Madhya Pradesh,68,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Maharashtra,28,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Manipur,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Meghalaya,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Mizoram,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Nagaland,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Odisha,15,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Punjab,0,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Rajasthan,5,67,2022
ncrb-crime,sources/ncrb-crime/cii-2022-book1.pdf,7c5ee3128b0b6bc7,ncrb-cii-communal-extract-v2.0.0-20260530T165512Z,state_2022,2022,Sikkim,0,67,2022
