source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,residence,metric,value,small_sample
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,hindu,total,nn,30.5,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,hindu,total,pnn,11.1,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,hindu,total,imr,41.6,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,hindu,total,child_4q1,9.3,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,hindu,total,u5_5q0,50.5,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,muslim,total,nn,27.8,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,muslim,total,pnn,12.2,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,muslim,total,imr,40.0,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,muslim,total,child_4q1,10.3,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,muslim,total,u5_5q0,49.9,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,christian,total,nn,15.1,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,christian,total,pnn,9.9,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,christian,total,imr,25.0,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,christian,total,child_4q1,7.4,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,christian,total,u5_5q0,32.2,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,sikh,total,nn,20.9,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,sikh,total,pnn,8.8,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,sikh,total,imr,29.7,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,sikh,total,child_4q1,5.4,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,sikh,total,u5_5q0,34.9,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,buddhist,total,nn,17.7,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,buddhist,total,pnn,12.4,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,buddhist,total,imr,30.0,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,buddhist,total,child_4q1,4.5,false
nfhs-4,sources/nfhs-4/reports/india-report-fr339.pdf,ae829501207767ca,nfhs-table72-total-extract-v1.0.0-20260529T102634Z,7.2,225,buddhist,total,u5_5q0,34.4,false
