source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,metric,value,n_women,small_sample
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,all,mild,25.6,682035,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,all,moderate,28.7,682035,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,all,severe,2.7,682035,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,all,any_anaemia,57.0,682035,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,hindu,mild,25.7,558120,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,hindu,moderate,29.0,558120,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,hindu,severe,2.7,558120,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,hindu,any_anaemia,57.4,558120,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,muslim,mild,26.0,89591,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,muslim,moderate,27.5,89591,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,muslim,severe,2.0,89591,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,muslim,any_anaemia,55.6,89591,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,christian,mild,23.7,16039,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,christian,moderate,24.6,16039,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,christian,severe,2.8,16039,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,christian,any_anaemia,51.1,16039,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,sikh,mild,24.9,10177,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,sikh,moderate,30.7,10177,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,sikh,severe,3.2,10177,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,sikh,any_anaemia,58.8,10177,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,buddhist,mild,24.8,4250,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,buddhist,moderate,29.4,4250,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,buddhist,severe,3.0,4250,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,buddhist,any_anaemia,57.3,4250,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,jain,mild,23.3,1284,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,jain,moderate,21.1,1284,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,jain,severe,0.8,1284,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,jain,any_anaemia,45.2,1284,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,other,mild,28.4,2574,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,other,moderate,34.8,2574,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,other,severe,2.2,2574,false
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table10231-extract-v1.0.0-20260527T224818Z,10.23.1,468,other,any_anaemia,65.5,2574,false
