source_id,source_document,source_sha256_prefix,extraction_run,table,page,religion,residence,metric,value
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,all,urban,toilet_access_pct,95.6
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,all,rural,toilet_access_pct,76.0
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,all,total,toilet_access_pct,82.5
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,hindu,urban,toilet_access_pct,95.1
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,hindu,rural,toilet_access_pct,74.0
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,hindu,total,toilet_access_pct,80.7
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,muslim,urban,toilet_access_pct,97.2
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,muslim,rural,toilet_access_pct,85.4
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,muslim,total,toilet_access_pct,90.3
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,christian,urban,toilet_access_pct,97.5
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,christian,rural,toilet_access_pct,87.2
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,christian,total,toilet_access_pct,91.2
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,sikh,urban,toilet_access_pct,99.3
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,sikh,rural,toilet_access_pct,96.7
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,sikh,total,toilet_access_pct,97.5
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,buddhist,urban,toilet_access_pct,95.3
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,buddhist,rural,toilet_access_pct,82.8
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,buddhist,total,toilet_access_pct,87.8
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,jain,urban,toilet_access_pct,99.9
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,jain,rural,toilet_access_pct,88.1
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,jain,total,toilet_access_pct,97.6
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,other,urban,toilet_access_pct,95.5
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,other,rural,toilet_access_pct,66.2
nfhs-5,sources/nfhs-5/reports/india-report-fr375.pdf,ce1fa5e3c93e5f00,nfhs-table24-extract-v1.0.0-20260528T002856Z,2.4,74,other,total,toilet_access_pct,72.5
