indicator,religion,residence,value_pct,n_households
water_improved,muslim,all,94.2,13790
water_improved,muslim,rural,93.9,7392
water_improved,muslim,urban,94.6,6398
water_improved,hindu,all,96.0,81825
water_improved,hindu,rural,95.0,49514
water_improved,hindu,urban,98.0,32311
water_improved,christian,all,86.1,6338
water_improved,christian,rural,82.5,3912
water_improved,christian,urban,91.8,2426
water_improved,sikh,all,99.4,1612
water_improved,sikh,rural,99.2,1061
water_improved,sikh,urban,99.7,551
water_improved,all,all,95.5,106838
water_improved,all,rural,94.5,63736
water_improved,all,urban,97.4,43102
water_within_premises,muslim,all,73.4,13790
water_within_premises,muslim,rural,69.7,7392
water_within_premises,muslim,urban,79.2,6398
water_within_premises,hindu,all,64.1,81825
water_within_premises,hindu,rural,56.0,49514
water_within_premises,hindu,urban,80.5,32311
water_within_premises,christian,all,60.8,6338
water_within_premises,christian,rural,50.8,3912
water_within_premises,christian,urban,76.7,2426
water_within_premises,sikh,all,91.3,1612
water_within_premises,sikh,rural,90.2,1061
water_within_premises,sikh,urban,93.9,551
water_within_premises,all,all,65.7,106838
water_within_premises,all,rural,58.1,63736
water_within_premises,all,urban,80.5,43102
water_improved_within_premises,muslim,all,69.3,13790
water_improved_within_premises,muslim,rural,65.9,7392
water_improved_within_premises,muslim,urban,74.6,6398
water_improved_within_premises,hindu,all,62.5,81825
water_improved_within_premises,hindu,rural,54.3,49514
water_improved_within_premises,hindu,urban,79.0,32311
water_improved_within_premises,christian,all,51.9,6338
water_improved_within_premises,christian,rural,40.5,3912
water_improved_within_premises,christian,urban,70.0,2426
water_improved_within_premises,sikh,all,90.7,1612
water_improved_within_premises,sikh,rural,89.5,1061
water_improved_within_premises,sikh,urban,93.6,551
water_improved_within_premises,all,all,63.6,106838
water_improved_within_premises,all,rural,55.9,63736
water_improved_within_premises,all,urban,78.4,43102
water_piped_into_dwelling,muslim,all,20.2,13790
water_piped_into_dwelling,muslim,rural,9.8,7392
water_piped_into_dwelling,muslim,urban,36.5,6398
water_piped_into_dwelling,hindu,all,21.2,81825
water_piped_into_dwelling,hindu,rural,11.1,49514
water_piped_into_dwelling,hindu,urban,41.4,32311
water_piped_into_dwelling,christian,all,18.6,6338
water_piped_into_dwelling,christian,rural,10.5,3912
water_piped_into_dwelling,christian,urban,31.5,2426
water_piped_into_dwelling,sikh,all,44.4,1612
water_piped_into_dwelling,sikh,rural,35.4,1061
water_piped_into_dwelling,sikh,urban,66.1,551
water_piped_into_dwelling,all,all,21.4,106838
water_piped_into_dwelling,all,rural,11.3,63736
water_piped_into_dwelling,all,urban,40.9,43102
electricity,muslim,all,96.6,13786
electricity,muslim,rural,95.2,7392
electricity,muslim,urban,98.8,6394
electricity,hindu,all,95.4,81796
electricity,hindu,rural,93.6,49510
electricity,hindu,urban,99.2,32286
electricity,christian,all,97.5,6338
electricity,christian,rural,96.5,3912
electricity,christian,urban,99.2,2426
electricity,sikh,all,99.7,1612
electricity,sikh,rural,99.6,1061
electricity,sikh,urban,100.0,551
electricity,all,all,95.7,106804
electricity,all,rural,93.9,63732
electricity,all,urban,99.1,43072
pucca_structure,muslim,all,83.6,13786
pucca_structure,muslim,rural,75.9,7392
pucca_structure,muslim,urban,95.7,6394
pucca_structure,hindu,all,83.3,81796
pucca_structure,hindu,rural,76.8,49510
pucca_structure,hindu,urban,96.2,32286
pucca_structure,christian,all,79.4,6338
pucca_structure,christian,rural,71.1,3912
pucca_structure,christian,urban,92.6,2426
pucca_structure,sikh,all,97.0,1612
pucca_structure,sikh,rural,96.0,1061
pucca_structure,sikh,urban,99.4,551
pucca_structure,all,all,83.3,106804
pucca_structure,all,rural,76.7,63732
pucca_structure,all,urban,96.0,43072
latrine_access,muslim,all,86.9,13790
latrine_access,muslim,rural,80.7,7392
latrine_access,muslim,urban,96.5,6398
latrine_access,hindu,all,78.1,81825
latrine_access,hindu,rural,69.1,49514
latrine_access,hindu,urban,96.1,32311
latrine_access,christian,all,90.4,6338
latrine_access,christian,rural,86.6,3912
latrine_access,christian,urban,96.5,2426
latrine_access,sikh,all,94.9,1612
latrine_access,sikh,rural,93.2,1061
latrine_access,sikh,urban,99.0,551
latrine_access,all,all,79.8,106838
