round,year,religion,residence,sex,n_workers,avg_monthly_earnings_rs
2017-18,2017,muslim,all,all,4691,12015
2017-18,2017,muslim,all,male,4000,12450
2017-18,2017,muslim,all,female,691,9317
2017-18,2017,muslim,rural,all,1540,11320
2017-18,2017,muslim,rural,male,1317,11873
2017-18,2017,muslim,rural,female,223,7695
2017-18,2017,muslim,urban,all,3151,12483
2017-18,2017,muslim,urban,male,2683,12842
2017-18,2017,muslim,urban,female,468,10330
2017-18,2017,hindu,all,all,32437,15817
2017-18,2017,hindu,all,male,25346,16732
2017-18,2017,hindu,all,female,7085,12497
2017-18,2017,hindu,rural,all,10227,12782
2017-18,2017,hindu,rural,male,8141,13706
2017-18,2017,hindu,rural,female,2083,8950
2017-18,2017,hindu,urban,all,22210,17888
2017-18,2017,hindu,urban,male,17205,18895
2017-18,2017,hindu,urban,female,5002,14534
2017-18,2017,christian,all,all,3732,16724
2017-18,2017,christian,all,male,2476,18198
2017-18,2017,christian,all,female,1256,14121
2017-18,2017,christian,rural,all,1410,13194
2017-18,2017,christian,rural,male,975,15382
2017-18,2017,christian,rural,female,435,9056
2017-18,2017,christian,urban,all,2322,19379
2017-18,2017,christian,urban,male,1501,20409
2017-18,2017,christian,urban,female,821,17651
2017-18,2017,sikh,all,all,893,16110
2017-18,2017,sikh,all,male,706,16603
2017-18,2017,sikh,all,female,187,14237
2017-18,2017,sikh,rural,all,431,13323
2017-18,2017,sikh,rural,male,349,14286
2017-18,2017,sikh,rural,female,82,9373
2017-18,2017,sikh,urban,all,462,20413
2017-18,2017,sikh,urban,male,357,20326
2017-18,2017,sikh,urban,female,105,20709
2017-18,2017,all,all,all,42752,15529
2017-18,2017,all,all,male,33241,16369
2017-18,2017,all,all,female,9505,12457
2017-18,2017,all,rural,all,13991,12672
2017-18,2017,all,rural,male,11059,13581
2017-18,2017,all,rural,female,2929,8938
2017-18,2017,all,urban,all,28761,17511
2017-18,2017,all,urban,male,22182,18383
2017-18,2017,all,urban,female,6576,14553
2018-19,2018,muslim,all,all,5029,12913
2018-19,2018,muslim,all,male,4295,13444
2018-19,2018,muslim,all,female,733,9869
2018-19,2018,muslim,rural,all,1728,12313
2018-19,2018,muslim,rural,male,1491,12994
2018-19,2018,muslim,rural,female,237,8297
2018-19,2018,muslim,urban,all,3301,13256
2018-19,2018,muslim,urban,male,2804,13702
2018-19,2018,muslim,urban,female,496,10736
2018-19,2018,hindu,all,all,32539,16521
2018-19,2018,hindu,all,male,25093,17468
2018-19,2018,hindu,all,female,7440,13252
2018-19,2018,hindu,rural,all,10391,12538
2018-19,2018,hindu,rural,male,8110,13529
2018-19,2018,hindu,rural,female,2280,8782
2018-19,2018,hindu,urban,all,22148,19152
2018-19,2018,hindu,urban,male,16983,20159
2018-19,2018,hindu,urban,female,5160,15876
2018-19,2018,christian,all,all,3593,18171
2018-19,2018,christian,all,male,2437,20091
2018-19,2018,christian,all,female,1155,15015
2018-19,2018,christian,rural,all,1458,13566
2018-19,2018,christian,rural,male,1014,15997
2018-19,2018,christian,rural,female,443,9482
2018-19,2018,christian,urban,all,2135,21708
2018-19,2018,christian,urban,male,1423,23278
2018-19,2018,christian,urban,female,712,19166
2018-19,2018,sikh,all,all,933,15735
2018-19,2018,sikh,all,male,725,16660
2018-19,2018,sikh,all,female,207,12905
2018-19,2018,sikh,rural,all,410,13242
2018-19,2018,sikh,rural,male,329,14861
2018-19,2018,sikh,rural,female,81,8113
2018-19,2018,sikh,urban,all,523,19149
2018-19,2018,sikh,urban,male,396,19172
2018-19,2018,sikh,urban,female,126,19117
2018-19,2018,all,all,all,43105,16179
2018-19,2018,all,all,male,33278,17069
2018-19,2018,all,all,female,9818,13074
2018-19,2018,all,rural,all,14354,12543
2018-19,2018,all,rural,male,11210,13556
2018-19,2018,all,rural,female,3142,8746
2018-19,2018,all,urban,all,28751,18584
2018-19,2018,all,urban,male,22068,19455
2018-19,2018,all,urban,female,6676,15687
2019-20,2019,muslim,all,all,4183,13999
2019-20,2019,muslim,all,male,3489,14691
2019-20,2019,muslim,all,female,694,10273
2019-20,2019,muslim,rural,all,1409,13015
2019-20,2019,muslim,rural,male,1187,13766
2019-20,2019,muslim,rural,female,222,9487
2019-20,2019,muslim,urban,all,2774,14575
2019-20,2019,muslim,urban,male,2302,15215
2019-20,2019,muslim,urban,female,472,10828
2019-20,2019,hindu,all,all,31986,17186
2019-20,2019,hindu,all,male,24075,18308
2019-20,2019,hindu,all,female,7907,13753
2019-20,2019,hindu,rural,all,10159,12967
2019-20,2019,hindu,rural,male,7758,14031
2019-20,2019,hindu,rural,female,2398,9374
2019-20,2019,hindu,urban,all,21827,19833
2019-20,2019,hindu,urban,male,16317,21102
2019-20,2019,hindu,urban,female,5509,16173
2019-20,2019,christian,all,all,3447,19050
2019-20,2019,christian,all,male,2217,20602
2019-20,2019,christian,all,female,1230,16651
2019-20,2019,christian,rural,all,1343,15779
2019-20,2019,christian,rural,male,858,17655
2019-20,2019,christian,rural,female,485,13043
2019-20,2019,christian,urban,all,2104,21151
2019-20,2019,christian,urban,male,1359,22427
2019-20,2019,christian,urban,female,745,19106
2019-20,2019,sikh,all,all,923,17035
2019-20,2019,sikh,all,male,716,16004
2019-20,2019,sikh,all,female,207,19406
2019-20,2019,sikh,rural,all,433,15264
2019-20,2019,sikh,rural,male,336,13052
2019-20,2019,sikh,rural,female,97,19454
2019-20,2019,sikh,urban,all,490,19854
2019-20,2019,sikh,urban,male,380,20027
2019-20,2019,sikh,urban,female,110,19294
2019-20,2019,all,all,all,41503,16966
2019-20,2019,all,all,male,31156,17972
2019-20,2019,all,all,female,10343,13852
2019-20,2019,all,rural,all,13702,13117
2019-20,2019,all,rural,male,10383,14051
