round,year,religion,residence,sex,n_15plus,lfpr,wpr,ur,salaried_share
2017-18,2017,all,all,all,330620,49.79,46.81,5.99,22.86
2017-18,2017,all,all,female,163000,23.30,21.98,5.64,21.06
2017-18,2017,all,all,male,167576,75.80,71.17,6.10,23.40
2017-18,2017,all,rural,all,184935,50.74,48.07,5.27,13.13
2017-18,2017,all,rural,female,90754,24.59,23.66,3.77,10.53
2017-18,2017,all,rural,male,94164,76.39,72.00,5.75,13.96
2017-18,2017,all,urban,all,145685,47.62,43.94,7.75,47.04
2017-18,2017,all,urban,female,72246,20.36,18.17,10.75,52.17
2017-18,2017,all,urban,male,73412,74.47,69.30,6.94,45.72
2017-18,2017,buddhist,all,all,3358,54.40,51.36,5.59,21.04
2017-18,2017,buddhist,all,female,1680,35.50,33.37,5.98,21.46
2017-18,2017,buddhist,all,male,1678,73.81,69.82,5.40,20.84
2017-18,2017,buddhist,rural,all,2158,59.32,57.21,3.56,12.32
2017-18,2017,buddhist,rural,female,1043,41.89,41.01,2.10,10.95
2017-18,2017,buddhist,rural,male,1115,76.18,72.87,4.34,13.07
2017-18,2017,buddhist,urban,all,1200,45.11,40.32,10.63,44.38
2017-18,2017,buddhist,urban,female,637,24.41,20.13,17.54,58.55
2017-18,2017,buddhist,urban,male,563,68.91,63.53,7.81,39.21
2017-18,2017,christian,all,all,23246,50.68,46.42,8.39,36.63
2017-18,2017,christian,all,female,11707,29.17,25.86,11.34,46.86
2017-18,2017,christian,all,male,11536,73.28,68.04,7.15,32.54
2017-18,2017,christian,rural,all,13003,52.59,48.69,7.42,24.87
2017-18,2017,christian,rural,female,6382,30.09,27.47,8.73,30.90
2017-18,2017,christian,rural,male,6621,75.34,70.15,6.89,22.48
2017-18,2017,christian,urban,all,10243,47.67,42.88,10.07,57.55
2017-18,2017,christian,urban,female,5325,27.79,23.47,15.56,74.76
2017-18,2017,christian,urban,male,4915,69.87,64.54,7.63,50.59
2017-18,2017,hindu,all,all,247668,50.49,47.58,5.77,22.68
2017-18,2017,hindu,all,female,121720,24.52,23.26,5.15,20.25
2017-18,2017,hindu,all,male,125916,75.82,71.30,5.96,23.45
2017-18,2017,hindu,rural,all,141200,51.43,48.82,5.08,12.68
2017-18,2017,hindu,rural,female,69275,25.74,24.84,3.49,9.79
2017-18,2017,hindu,rural,male,71910,76.49,72.20,5.61,13.64
2017-18,2017,hindu,urban,all,106468,48.20,44.58,7.52,49.16
2017-18,2017,hindu,urban,female,52445,21.58,19.44,9.91,52.57
2017-18,2017,hindu,urban,male,54006,74.19,69.12,6.84,48.22
2017-18,2017,jain,all,all,883,46.48,43.93,5.48,44.01
2017-18,2017,jain,all,female,420,20.43,18.03,11.75,58.88
2017-18,2017,jain,all,male,462,70.15,67.46,3.82,40.47
2017-18,2017,jain,rural,all,147,40.28,37.75,6.28,44.79
2017-18,2017,jain,rural,female,67,19.86,19.86,0.00,70.00
2017-18,2017,jain,rural,male,80,59.00,54.15,8.22,36.31
2017-18,2017,jain,urban,all,736,48.26,45.71,5.29,43.83
2017-18,2017,jain,urban,female,353,20.60,17.50,15.01,55.25
2017-18,2017,jain,urban,male,382,73.33,71.27,2.82,41.37
2017-18,2017,muslim,all,all,44562,45.04,41.79,7.21,20.91
2017-18,2017,muslim,all,female,22165,13.98,12.77,8.67,18.68
2017-18,2017,muslim,all,male,22391,76.77,71.45,6.93,21.32
2017-18,2017,muslim,rural,all,21363,45.22,42.29,6.48,13.49
2017-18,2017,muslim,rural,female,10580,15.03,14.17,5.70,10.46
2017-18,2017,muslim,rural,male,10782,76.44,71.37,6.63,14.11
2017-18,2017,muslim,urban,all,23199,44.76,41.00,8.39,33.12
2017-18,2017,muslim,urban,female,11585,12.29,10.50,14.57,36.65
2017-18,2017,muslim,urban,male,11609,77.30,71.57,7.40,32.61
2017-18,2017,other,all,all,3518,52.94,49.88,5.79,15.75
