source_id,source_document,source_sha256_prefix,extraction_run,page,table,state_name,residence,all,hindu_all,hindu_sc_st,hindu_obc,hindu_general,muslim,all_others
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,385,Appendix Table 8.2,All India,urban,1105,1139,793,955,1469,804,1485
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,385,Appendix Table 8.2,West Bengal,urban,1159,1214,784,1008,1385,748,2585
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,385,Appendix Table 8.2,Kerala,urban,1354,1363,836,1221,1883,1081,1670
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,385,Appendix Table 8.2,Uttar Pradesh,urban,880,976,668,796,1311,662,1405
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,385,Appendix Table 8.2,Bihar,urban,726,768,681,662,1027,559,708
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,385,Appendix Table 8.2,Assam,urban,1131,1113,888,994,1265,1199,1198
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,385,Appendix Table 8.2,Jammu Kashmir,urban,1115,1323,949,943,1489,991,1572
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,385,Appendix Table 8.2,Jharkhand,urban,1017,1038,681,877,1433,727,995
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,385,Appendix Table 8.2,Karnataka,urban,1138,1201,729,1007,1580,837,1501
sachar-committee-2006,sources/sachar-committee-2006/sachar-comm-report-india-2006.pdf,ecfad285a2c6ee94,sachar-mpce-by-state-extract-v1.0.0-20260610T085701Z,385,Appendix Table 8.2,Uttaranchal,urban,1028,1033,768,785,1175,753,2657
