id	idno	repo	title
293	DDI-IND-NSO-ASUSE-Jan2025-Dec2025	ENT	Annual Survey of Unincorporated Sector Enterprises (ASUSE) : 2025 (January 2025 – December 2025)
292	DDI-IND-NSO-PLFS-Apr-Jun2025-to-Oct-Dec2025	PLFS	unit-level data of PLFS for quarterly (Apr-June 2025 to Oct-Dec 2025)
291	DDI-IND-NSO-PLFS-Apr2025-Dec2025	PLFS	unit-level data of PLFS for monthly (April to December 2025)
290	DDI-IND-NSO-HSCHealth80R-Jan2025-Dec2025	CEXP	Survey on Household Social Consumption:Health(Jan-Dec25)
284	DDI-IND-NSO-PLFS-Jan2025-Dec2025	PLFS	Periodic Labour Force Survey (PLFS),Calendar Year 2025 (Jan-Dec25)
277	DDI-IND-NSO-ASI-2019-20	ASI	Annual Survey of Industries 2019-20
275	DDI-IND-NSO-ASI-2020-21	ASI	Annual Survey of Industries 2020-21
256	DDI-IND-NSO-ASI-2023-24	ASI	Annual Survey of Industries 2023-24
255	DDI-IND-MOSPI-NSS-CMSE80-2025	OTH	Comprehensive Modular Survey on Education-NSS 80th Round-2025
254	DDI-IND-NSO-PLFS-2024-24	PLFS	Periodic Labour Force Survey (PLFS), Key Employment Unemployment Indicators for (January 2024 - December 2024)
239	DDI-IND-MOSPI-NSS-CMST80-2025	OTH	Comprehensive Modular Survey on Telecom-NSS 80th Round-2025
238	DDI-IND-MOSPI-NSS-ASUSE23-24	ENT	Annual Survey of Unincorporated Sector Enterprises (ASUSE) of 2023-2024
237	DDI-IND-MOSPI-NSS-HCES23-24	CEXP	Household Consumption Expenditure Survey: 2023-24
236	DDI-IND-NSO-TUS-2024-24	OTH	Time Use Survey (TUS), January 2024-December 2024
230	DDI-IND-NSO-UFS	OTH	Urban Frame Survey (UFS) Summary Data
224	DDI-IND-MOSPI-NSSO-HCES22-23	CEXP	Household Consumption Expenditure Survey: 2022-23
223	DDI-IND-CSO-TUS-2019-19	OTH	Time Use Survey (TUS), January 2019-December 2019
222	DDI-IND-MOSPI-NSSO-ASUSE2223	ENT	Annual Survey of Unincorporated Sector Enterprises (ASUSE) of 2022-2023
221	DDI-IND-MOSPI-NSSO-ASUSE2122	ENT	Annual Survey of Unincorporated Sector Enterprises (ASUSE) of 2021-2022
220	DDI-IND-MOSPI-NSSO-CAMS22-23	OTH	Comprehensive Annual Modular Survey (CAMS),NSS 79th round: 2022-23
218	DDI-IND-CSO-MIS-78-2020	OTH	Multiple Indicator Survey(MIS), NSS 78th Round
217	DDI-IND-CSO-PLFS-2019-20	PLFS	Periodic Labour Force Survey (PLFS), July 2019-June 2020
216	DDI-IND-CSO-PLFS-2018-19	PLFS	Periodic Labour Force Survey (PLFS), July 2018-June 2019
214	DDI-IND-CSO-PLFS-2021-22	PLFS	Periodic Labour Force Survey (PLFS), July 2021-June 2022
213	DDI-IND-CSO-PLFS-2023-24	PLFS	Periodic Labour Force Survey (PLFS), July 2023-June 2024
211	DDI-IND-CSO-PLFS-2022-22	PLFS	Periodic Labour Force Survey (PLFS), Calendar Year 2022 (Jan22 Dec22)
210	DDI-IND-CSO-PLFS-2022-23	PLFS	Periodic Labour Force Survey (PLFS), July, 2022- June,2023
209	DDI-IND-CSO-PLFS-2021-21	PLFS	Periodic Labour Force Survey (PLFS), Calendar Year 2021 (Jan21 Dec21)
208	DDI-IND-CSO-PLFS-2023-23	PLFS	Periodic Labour Force Survey (PLFS), Calendar Year 2023 (Jan23 Dec23)
206	DDI-IND-CSO-PLFS-2020-21	PLFS	Unit Level Data of Periodic Labour Force Survey (PLFS) July 2020-June 2021
205	DDI-IND-NSO-ASI-2022-23	ASI	Annual Survey of Industries 2022-23
204	DDI-IND-CSO-PLFS-2017-18	PLFS	Periodic Labour Force Survey (PLFS), July 2017-June 2018
188	DDI-IND-NSO-ASI-2021-22	ASI	Annual Survey of Industries 2021-22
157	DDI-IND-MOSPI-NSSO-77Rnd-Sch33.1-January2019-December2019	central	Land and Livestock Holding of Households and Situation Assessment of Agricultural Households)-JANUARY 2019 – DECEMBER 2019-Visit 1 and Visit 2 77th Round
156	DDI-IND-MOSPI-NSSO-77Rnd-Sch18.2-January2019-December2019	central	Debt and Investment 77th Round:JANUARY 2019 – DECEMBER 2019-Visit 1 and Visit 2
154	DDI-IND-MOSPI-NSSO-76Rnd-Sch26.0-July2018-December2018	central	Survey of Persons with Disabilities NSS 76th Round : July 2018 - December 2018
153	DDI-IND-MOSPI-NSSO-76Rnd-Sch1.2-July2018-December2018	central	Drinking Water, Sanitation, Hygiene and Housing Condition NSS 76th Round : July 2018- December  2018
152	DDI-IND-MOSPI-NSSO-75Rnd-Sch25.0-July2017-June2018	central	Household Social Consumption: Health, NSS 75th Round Schedule-25.0 :July 2017-June 2018
151	DDI-IND-MOSPI-NSSO-75Rnd-Sch25.2-July2017-June2018	central	Household Social Consumption: Education, NSS 75th Round Schedule-25.2 :July 2017-June 2018
150	DDI-IND-NSO-ASI-2018-19	ASI	Annual Survey of Industries 2018-19
149	IND-CSO-ASI-2017-18	ASI	Annual Survey of Industries 2017-18
148	DDI-IND-CSO-IIP	central	Index of Industrial Production (IIP) with Base year 2011-12
145	IND-CSO-ASI-2016-17	ASI	Annual Survey of Industries 2016-17
143	IND-CSO-ASI-2015-16	ASI	Annual Survey of Industries 2015-16
142	IDDI-IND-MOSPI-3-EC-1990	central	Third  Economic Census 1990
141	DDI-IND-MOSPI-NSSO-70th-Sch18dot1-visit1-2013	LLS	Land and Livestock Holdings Survey Visit 1,  January -July 2013
140	IND-CSO-TUS-1998-v1.0	OTH	Time Use Survey 1998
139	DDI-IND-MOSPI-NSSO-73Rnd-Sch2.34-July2015-June2016	ENT	Unincorporated Non-Agricultural Enterprises (Excluding Construction) - JULY 2015 - JUNE 2016
138	DDI-IND-MOSPI-NSSO-72Rnd-Sch21.1-July2014-June2015	OTH	Domestic Tourism Expenditure  - JULY 2014 - JUNE 2015
137	DDI-IND-MOSPI-NSSO-72Rnd-Sch1.5-July2014-June2015	CEXP	Household  expenditure on  Services  and  Durable  goods - JULY 2014 - JUNE 2015
136	IND-NSSO-SCES-2014-v1.0	OTH	Social Consumption - Education Survey 2014
135	DDI-IND-MOSPI-NSSO-71Rnd-Sch25pt0-Jan-June-2014	OTH	Social Consumption : Health, NSS 71st  Round : Jan - June 2014
134	DDI-IND-MOSPI-NSSO-70Rnd-Sch33-visit2-Jan-Dec2013	central	Situation Assessment survey of Agricultural households,  NSS 70th Round : Jan - Dec 2013 : Visit 2
133	IND-NSSO-SAS-2013-v1.0	central	Situation Assessment Survey of Agricultural Households, January - December 2013
132	DDI-IND-MOSPI-NSSO-70Rnd-Sch18pt2-Jan-Dec2013V2	central	Debt & Investment Visit 2 , Jan - Dec 2013
131	DDI-IND-MOSPI-NSSO-70th-Sch18dot1-visit2-2013	LLS	Land and Livestock Holdings Survey Visit 2 , August - December 2013
130	DDI-IND-MOSPI-NSSO-70Rnd-Sch18pt2-Jan-Dec20131	OTH	Debt & Investment, NSS 70th Round Visit-1: Jan - Dec 2013
129	DDI-IND-MOSPI-NSSO-69Rnd-Sch1dot2-2012	central	Drinking water, sanitation, hygiene and housing condition : NSS 69th Round : July 2012- Dec  2012
128	DDI-IND-MOSPI-NSSO-69Rnd-Sch-0dot21-2012	OTH	Urban Slums Survey, July 2012 - December 2012
