plfs-2017-18 DDI-IND-CSO-PLFS-2017-18
plfs-2018-19 DDI-IND-CSO-PLFS-2018-19
plfs-2019-20 DDI-IND-CSO-PLFS-2019-20
plfs-2020-21 DDI-IND-CSO-PLFS-2020-21
plfs-2021-22 DDI-IND-CSO-PLFS-2021-22
plfs-2022-23 DDI-IND-CSO-PLFS-2022-23
plfs-2023-24 DDI-IND-CSO-PLFS-2023-24
aidis-2018-19 DDI-IND-MOSPI-NSSO-77Rnd-Sch18.2-January2019-December2019
hces-2022-23 DDI-IND-MOSPI-NSSO-HCES22-23
health-2017-18 DDI-IND-MOSPI-NSSO-75Rnd-Sch25.0-July2017-June2018
health-2025 DDI-IND-NSO-HSCHealth80R-Jan2025-Dec2025
education-2017-18 DDI-IND-MOSPI-NSSO-75Rnd-Sch25.2-July2017-June2018
education-2025 DDI-IND-MOSPI-NSS-CMSE80-2025
ces-2004-05 DDI-IND-MOSPI-NSSO-61Rnd-Sch1-July2004-June2005
ces-2006-07 DDI-IND-MOSPI-NSSO-63Rnd-Sch1.0-2006-07
ces-2007-08 IND-NSSO-HCES-2007-v1
ces-2009-10 DDI-IND-NSSO-66-SCHEDULE-1.0T2
ces-2011-12-t1 DDI-IND-MOSPI-NSSO-68Rnd-Sch1.0-July2011-June2012
ces-2011-12-t2 DDI-IND-MOSPI-NSSO-68Rnd-Sch2.0-July2011-June2012
eus-2004-05 DDI-IND-MOSPI-NSSO-61-12-2011
eus-2007-08 IND-NSSO-EUMS-2007-v1
eus-2009-10 DDI-IND-MOSPI-NSSO-66-10-2011
eus-2011-12 DDI-IND-MOSPI-NSSO-68-10-2013
aidis-2013-v1 DDI-IND-MOSPI-NSSO-70Rnd-Sch18pt2-Jan-Dec20131
aidis-2013-v2 DDI-IND-MOSPI-NSSO-70Rnd-Sch18pt2-Jan-Dec2013V2
aidis-2003 DDI-IND-MOSPI-NSSO-59Rnd-Sch18pt2-Jan-Dec2003
aidis-1992 IND-NSSO-DIS-1992-v1
health-2014 DDI-IND-MOSPI-NSSO-71Rnd-Sch25pt0-Jan-June-2014
morbidity-2004 IND-NSSO-SMHC-2004-v1.0
education-2014 IND-NSSO-SCES-2014-v1.0
housing-water-2018 DDI-IND-MOSPI-NSSO-76Rnd-Sch1.2-July2018-December2018
housing-water-2012 DDI-IND-MOSPI-NSSO-69Rnd-Sch1dot2-2012
housing-2008-09 DDI-IND-MOSPI-NSSO-65Rnd-Sch1dot2-2008-09
tus-2019 DDI-IND-CSO-TUS-2019-19
tus-2024 DDI-IND-NSO-TUS-2024-24
sas-agri-2013 DDI-IND-MOSPI-NSSO-70Rnd-Sch33-visit2-Jan-Dec2013
sas-agri-2019 DDI-IND-MOSPI-NSSO-77Rnd-Sch33.1-January2019-December2019
