election_year,lok_sabha_number,geography,muslim_seats,total_seats,share_pct,citation
1952,1,India (Lok Sabha),21,489,4.29,India Forum / Statista historical series
1957,2,India (Lok Sabha),23,494,4.66,India Forum / Statista historical series
1962,3,India (Lok Sabha),23,494,4.66,India Forum / Statista historical series
1967,4,India (Lok Sabha),25,520,4.81,India Forum / Statista historical series
1971,5,India (Lok Sabha),30,518,5.79,India Forum / Statista historical series
1977,6,India (Lok Sabha),34,542,6.27,India Forum / Statista (Janata wave)
1980,7,India (Lok Sabha),49,542,9.04,India Forum / Statista (historical PEAK)
1984,8,India (Lok Sabha),45,542,8.3,India Forum / Statista (Rajiv Gandhi sweep)
1989,9,India (Lok Sabha),33,525,6.29,India Forum / Statista
1991,10,India (Lok Sabha),28,521,5.37,India Forum / Statista
1996,11,India (Lok Sabha),28,543,5.16,India Forum / Statista
1998,12,India (Lok Sabha),29,543,5.34,India Forum / Statista
1999,13,India (Lok Sabha),32,543,5.89,India Forum / Statista
2004,14,India (Lok Sabha),36,543,6.63,India Forum / Statista (UPA-1)
2009,15,India (Lok Sabha),28,543,5.16,FACTLY / Statista / Maktoob aggregations
2014,16,India (Lok Sabha),22,543,4.05,FACTLY / Statista / Maktoob aggregations
2019,17,India (Lok Sabha),27,543,4.97,FACTLY / Statista / Maktoob aggregations
2024,18,India (Lok Sabha),24,543,4.42,Maktoob Media (4.42%); FACTLY (24 of 78 contesting); India Forum
