election_year,geography_code,geography_level,geography_label,muslim_seats,total_seats,share_pct,citation
2024,IN,national,India (all-states aggregate),,,6.0,"Across 28 state assemblies, Muslims ~6% of seats (India Forum, Clarion India, multiple compilations)"
2026,IN-S19,state,West Bengal,40,293,13.65,"The Wire, Deccan Herald (2026 WB assembly)"
2026,IN-S32,state,Kerala,35,140,25.0,The Wire (2026 Kerala assembly)
2025,IN-S07,state,Delhi,4,70,5.71,"Maktoob, The Print (2025 Delhi assembly)"
2024,IN-S01,state,Jammu & Kashmir,54,90,60.0,Clarion India (2024 J&K assembly: first since 2019 Article 370 reorg)
2024,IN-S20,state,Jharkhand,3,81,3.7,"oneindia, ZeeNews, Outlook (2024 Jharkhand: Hafizul Hassan JMM, Irfan Ansari INC, Nishant Alam INC)"
2024,IN-S21,state,Odisha,1,147,0.68,"Deccan Herald, Clarion India (2024 Odisha: Sofia Firdous INC, first Muslim woman MLA in state history)"
2024,IN-S28,state,Andhra Pradesh,3,175,1.71,"Radiance Weekly (2024 AP: all three from TDP, down from 4 in 2019)"
2024,IN-S12,state,Arunachal Pradesh,0,60,0.0,Clarion India: no Muslim MLA in state history
2024,IN-S11,state,Sikkim,0,32,0.0,Clarion India: no Muslim MLA in state history
2024,IN-S27,state,Maharashtra,10,288,3.47,"LatestLY, Deccan Herald (2024 Maharashtra)"
2024,IN-S06,state,Haryana,5,90,5.56,ummid.com (2024 Haryana)
2023,IN-S29,state,Karnataka,9,224,4.02,"The Hindu, Maktoob (2023 Karnataka)"
2023,IN-S23,state,Madhya Pradesh,2,230,0.87,TimelineDaily (2023 MP)
2023,IN-S08,state,Rajasthan,6,200,3.0,TimelineDaily (2023 Rajasthan)
2023,IN-S36,state,Telangana,7,119,5.88,TimelineDaily (2023 Telangana)
2023,IN-S22,state,Chhattisgarh,0,90,0.0,TimelineDaily (2023 Chhattisgarh)
2023,IN-S16,state,Tripura,0,60,0.0,"Free Press Journal, The Pamphlet (Feb 2023 main election: no Muslim winner; Tafazzul Hossain BJP became state's first-ever Muslim MLA via Boxanagar bypoll Sep 2023, not counted in main-election row)"
2023,IN-S17,state,Meghalaya,0,60,0.0,No Muslim MLA winner found in 2023 Meghalaya assembly election (Christian-majority state with ~4.4% Muslim population)
2023,IN-S13,state,Nagaland,0,60,0.0,"Clarion India: Christian-majority state, no Muslim MLA winner found in 2023"
2023,IN-S15,state,Mizoram,0,40,0.0,Clarion India: no Muslim MLA in state history
2022,IN-S09,state,Uttar Pradesh,34,403,8.44,"The Wire, Maktoob, Indian Express (2022 UP)"
2022,IN-S24,state,Gujarat,3,182,1.65,"Indian Express, Times of India (2022 Gujarat: historic low after BJP sweep)"
2022,IN-S05,state,Uttarakhand,3,70,4.29,"ummid.com (2022 Uttarakhand: Shahzad BSP, Sarwat Kareem Ansari BSP, Furkan Ahmad INC)"
2022,IN-S03,state,Punjab,1,117,0.85,"ummid.com, Maeeshat (2022 Punjab: Jamil ur Rahman AAP from Malerkotla, only Muslim MLA in state)"
2022,IN-S14,state,Manipur,1,60,1.67,"Clarion India, Meghalaya Monitor (2022 Manipur: 13 Muslim candidates fielded, 1 won)"
2022,IN-S02,state,Himachal Pradesh,0,68,0.0,thenewzradar.com: no Muslim MLA elected in HP since state formation 1971 (~2.1% Muslim population)
2022,IN-S30,state,Goa,0,40,0.0,"No Muslim MLA winner identified in 2022 Goa assembly election (~8.4% Muslim population, but representation has been historically negligible)"
2021,IN-S18,state,Assam,31,126,24.6,"Maktoob, The Hindu (2021 Assam: Muslims ~34% of population, ~25% of MLAs)"
2021,IN-S33,state,Tamil Nadu,5,234,2.14,"The Wire, The Hindu (2021 Tamil Nadu)"
2021,IN-S34,state,Puducherry,1,30,3.33,Clarion India (2021 Puducherry: held flat with 1 Muslim MLA in 30-member assembly)
2020,IN-S10,state,Bihar,19,243,7.82,"Maktoob, The Wire (2020 Bihar: Muslims ~17% of population)"
